Show,Date,Artist,Song,Total,Placement,file_path,vggish_dance,vggish_party,vggish_happy,vggish_sad,effnet_party,effnet_happy,effnet_sad,effnet_approachability,effnet_engagement,effnet_timbre_bright,tempo
M Countdown,2023-06-15,STRAY KIDS,S-Class,0,1,data/audio/s-class_stray_kids.flac,87.25327253341675,26.412922143936157,63.86368274688721,80.18993735313416,10.308615863323212,31.834089756011963,88.78430724143982,76.77392959594727,96.23448252677917,50.73173642158508,105.0
Music Bank,2023-06-16,STRAY KIDS,S-Class,8333,1,data/audio/s-class_stray_kids.flac,87.25327253341675,26.412922143936157,63.86368274688721,80.18993735313416,10.308615863323212,31.834089756011963,88.78430724143982,76.77392959594727,96.23448252677917,50.73173642158508,105.0
Music Bank,2023-06-16,Taeyoung,SHALALA,6053,2,data/audio/shalala_taeyoung.flac,96.26305103302002,10.548070818185806,67.98667907714844,89.1620934009552,4.480506107211113,60.93466877937317,93.37291717529297,45.684435963630676,96.05588912963867,45.66743075847626,95.0
Show! Music Core,2023-06-17,Lim Young-woong,Grains of Sand,6519,1,data/audio/grains_of_sand_lim_young-woong.flac,12.895950675010681,97.83596396446228,10.488443821668625,9.557799994945526,99.09940361976624,3.1731706112623215,11.206652969121933,83.14142227172852,64.42267298698425,50.18497109413147,130.0
Show! Music Core,2023-06-17,STRAY KIDS,S-Class,5153,2,data/audio/s-class_stray_kids.flac,87.25327253341675,26.412922143936157,63.86368274688721,80.18993735313416,10.308615863323212,31.834089756011963,88.78430724143982,76.77392959594727,96.23448252677917,50.73173642158508,105.0
Show! Music Core,2023-06-17,(G)I-DLE,Queencard,4891,3,data/audio/queencard_(g)i-dle.flac,92.97467470169067,14.018900692462921,81.47205710411072,88.0885660648346,1.0554456152021885,87.54774928092957,94.29084062576294,80.35699129104614,98.42963218688965,48.34466874599457,130.0
Inkigayo,2023-06-18,IVE,I Am,6398,1,data/audio/i_am_ive.flac,89.24803137779236,24.59140121936798,72.81239032745361,78.9498507976532,3.8132838904857635,39.557453989982605,87.8400444984436,85.83728671073914,87.72924542427063,54.07941937446594,122.0
Inkigayo,2023-06-18,STRAY KIDS,S-Class,5891,2,data/audio/s-class_stray_kids.flac,87.25327253341675,26.412922143936157,63.86368274688721,80.18993735313416,10.308615863323212,31.834089756011963,88.78430724143982,76.77392959594727,96.23448252677917,50.73173642158508,105.0
Inkigayo,2023-06-18,aespa,Spicy,5696,3,data/audio/spicy_aespa.flac,96.22032046318054,9.802157431840897,79.79329824447632,84.6139907836914,0.548909604549408,39.532700181007385,97.05479145050049,86.12024784088135,97.1976637840271,50.52409768104553,115.0
The Show,2023-06-20,ATEEZ,Bouncy (K-Hot Chilli Peppers),7220,1,data/audio/bouncy_(k-hot_chilli_peppers)_ateez.flac,93.5602068901062,17.734691500663757,62.34886050224304,86.81350350379944,3.921337053179741,35.83635091781616,95.64688205718994,59.09191370010376,97.785085439682,48.23773205280304,150.0
The Show,2023-06-20,fromis_9,#menow,6485,2,data/audio/#menow_fromis_9.flac,90.94898104667664,21.755050122737885,76.69607400894165,76.12740397453308,2.095724083483219,44.12275552749634,89.44993019104004,94.69625949859619,92.86890625953674,53.16069722175598,118.0
The Show,2023-06-20,KUN8,Wild Heart,2377,3,data/audio/wild_heart_kun8.flac,21.81040048599243,84.54453349113464,42.5153523683548,21.636962890625,96.34963274002075,14.683762192726135,18.133331835269928,95.89629173278809,84.00551676750183,52.21235156059265,68.0
Show Champion,2023-06-21,ATEEZ,Bouncy (K-Hot Chilli Peppers),5821,1,data/audio/bouncy_(k-hot_chilli_peppers)_ateez.flac,93.5602068901062,17.734691500663757,62.34886050224304,86.81350350379944,3.921337053179741,35.83635091781616,95.64688205718994,59.09191370010376,97.785085439682,48.23773205280304,150.0
Show Champion,2023-06-21,Lim Young-woong,Grains of Sand,5438,2,data/audio/grains_of_sand_lim_young-woong.flac,12.895950675010681,97.83596396446228,10.488443821668625,9.557799994945526,99.09940361976624,3.1731706112623215,11.206652969121933,83.14142227172852,64.42267298698425,50.18497109413147,130.0
Show Champion,2023-06-21,STRAY KIDS,S-Class,4405,3,data/audio/s-class_stray_kids.flac,87.25327253341675,26.412922143936157,63.86368274688721,80.18993735313416,10.308615863323212,31.834089756011963,88.78430724143982,76.77392959594727,96.23448252677917,50.73173642158508,105.0
Show Champion,2023-06-21,Kassy,Crush On You,2916,4,data/audio/crush_on_you_kassy.flac,69.04293894767761,72.2583532333374,40.799713134765625,21.74433320760727,25.932857394218445,24.189069867134094,58.954739570617676,90.24165272712708,83.99006724357605,50.735098123550415,85.0
Show Champion,2023-06-21,BTS,Take Two,2662,5,data/audio/take_two_bts.flac,56.10278844833374,71.70653939247131,48.81867468357086,35.7835590839386,54.12984490394592,20.867760479450226,54.0694534778595,87.3311996459961,83.44860672950745,50.29456615447998,93.0
M Countdown,2023-06-22,BTS,Take Two,7500,1,data/audio/take_two_bts.flac,56.10278844833374,71.70653939247131,48.81867468357086,35.7835590839386,54.12984490394592,20.867760479450226,54.0694534778595,87.3311996459961,83.44860672950745,50.29456615447998,93.0
M Countdown,2023-06-22,STRAY KIDS,S-Class,5216,2,data/audio/s-class_stray_kids.flac,87.25327253341675,26.412922143936157,63.86368274688721,80.18993735313416,10.308615863323212,31.834089756011963,88.78430724143982,76.77392959594727,96.23448252677917,50.73173642158508,105.0
Music Bank,2023-06-23,ATEEZ,Bouncy (K-Hot Chilli Peppers),11624,1,data/audio/bouncy_(k-hot_chilli_peppers)_ateez.flac,93.5602068901062,17.734691500663757,62.34886050224304,86.81350350379944,3.921337053179741,35.83635091781616,95.64688205718994,59.09191370010376,97.785085439682,48.23773205280304,150.0
Music Bank,2023-06-23,STRAY KIDS,S-Class,4036,2,data/audio/s-class_stray_kids.flac,87.25327253341675,26.412922143936157,63.86368274688721,80.18993735313416,10.308615863323212,31.834089756011963,88.78430724143982,76.77392959594727,96.23448252677917,50.73173642158508,105.0
Show! Music Core,2023-06-24,(G)I-DLE,Queencard,6369,1,data/audio/queencard_(g)i-dle.flac,92.97467470169067,14.018900692462921,81.47205710411072,88.0885660648346,1.0554456152021885,87.54774928092957,94.29084062576294,80.35699129104614,98.42963218688965,48.34466874599457,130.0
Show! Music Core,2023-06-24,ATEEZ,Bouncy (K-Hot Chilli Peppers),5643,2,data/audio/bouncy_(k-hot_chilli_peppers)_ateez.flac,93.5602068901062,17.734691500663757,62.34886050224304,86.81350350379944,3.921337053179741,35.83635091781616,95.64688205718994,59.09191370010376,97.785085439682,48.23773205280304,150.0
Show! Music Core,2023-06-24,aespa,Spicy,4499,3,data/audio/spicy_aespa.flac,96.22032046318054,9.802157431840897,79.79329824447632,84.6139907836914,0.548909604549408,39.532700181007385,97.05479145050049,86.12024784088135,97.1976637840271,50.52409768104553,115.0
Inkigayo,2023-06-25,IVE,I Am,6882,1,data/audio/i_am_ive.flac,89.24803137779236,24.59140121936798,72.81239032745361,78.9498507976532,3.8132838904857635,39.557453989982605,87.8400444984436,85.83728671073914,87.72924542427063,54.07941937446594,122.0
Inkigayo,2023-06-25,aespa,Spicy,5406,2,data/audio/spicy_aespa.flac,96.22032046318054,9.802157431840897,79.79329824447632,84.6139907836914,0.548909604549408,39.532700181007385,97.05479145050049,86.12024784088135,97.1976637840271,50.52409768104553,115.0
Inkigayo,2023-06-25,Jisoo,Flower,5162,3,data/audio/flower_jisoo.flac,94.0794587135315,27.301889657974243,66.68558716773987,62.01741695404053,29.18401062488556,19.912278652191162,67.84092783927917,83.40209126472473,81.9697380065918,51.23175382614136,124.0
The Show,2023-06-27,ATEEZ,Bouncy (K-Hot Chilli Peppers),9590,1,data/audio/bouncy_(k-hot_chilli_peppers)_ateez.flac,93.5602068901062,17.734691500663757,62.34886050224304,86.81350350379944,3.921337053179741,35.83635091781616,95.64688205718994,59.09191370010376,97.785085439682,48.23773205280304,150.0
The Show,2023-06-27,Kim Jae-hwan,Lucky! (ft. Bobby),3070,2,data/audio/lucky!_(ft._bobby)_kim_jae-hwan.flac,97.26054072380066,7.586715370416641,83.69632959365845,92.84377098083496,1.2907259166240692,73.41964840888977,91.24230742454529,88.17655444145203,98.22226762771606,50.74596405029297,119.0
The Show,2023-06-27,LAPILLUS,Who's Next,1457,3,data/audio/who's_next_lapillus.flac,96.38558626174927,10.89145764708519,77.83266305923462,90.43365120887756,1.1936064809560776,63.73342275619507,96.1838960647583,84.07195806503296,97.87577390670776,49.031710624694824,168.0
Show Champion,2023-06-28,Lim Young-woong,Grains of Sand,0,1,data/audio/grains_of_sand_lim_young-woong.flac,12.895950675010681,97.83596396446228,10.488443821668625,9.557799994945526,99.09940361976624,3.1731706112623215,11.206652969121933,83.14142227172852,64.42267298698425,50.18497109413147,130.0
M Countdown,2023-06-29,BTS,Take Two,7750,1,data/audio/take_two_bts.flac,56.10278844833374,71.70653939247131,48.81867468357086,35.7835590839386,54.12984490394592,20.867760479450226,54.0694534778595,87.3311996459961,83.44860672950745,50.29456615447998,93.0
M Countdown,2023-06-29,STRAY KIDS,S-Class,7448,2,data/audio/s-class_stray_kids.flac,87.25327253341675,26.412922143936157,63.86368274688721,80.18993735313416,10.308615863323212,31.834089756011963,88.78430724143982,76.77392959594727,96.23448252677917,50.73173642158508,105.0
Music Bank,2023-06-30,ATEEZ,Bouncy (K-Hot Chilli Peppers),7410,1,data/audio/bouncy_(k-hot_chilli_peppers)_ateez.flac,93.5602068901062,17.734691500663757,62.34886050224304,86.81350350379944,3.921337053179741,35.83635091781616,95.64688205718994,59.09191370010376,97.785085439682,48.23773205280304,150.0
Music Bank,2023-06-30,SEVENTEEN,Super,5098,2,data/audio/super_seventeen.flac,96.23025059700012,11.810381710529327,75.16944408416748,88.3150577545166,5.227454379200935,60.70225238800049,93.92906427383423,55.30717968940735,97.77920246124268,46.27121984958649,137.0
Show! Music Core,2023-07-01,(G)I-DLE,Queencard,7504,1,data/audio/queencard_(g)i-dle.flac,92.97467470169067,14.018900692462921,81.47205710411072,88.0885660648346,1.0554456152021885,87.54774928092957,94.29084062576294,80.35699129104614,98.42963218688965,48.34466874599457,130.0
Show! Music Core,2023-07-01,aespa,Spicy,5015,2,data/audio/spicy_aespa.flac,96.22032046318054,9.802157431840897,79.79329824447632,84.6139907836914,0.548909604549408,39.532700181007385,97.05479145050049,86.12024784088135,97.1976637840271,50.52409768104553,115.0
Show! Music Core,2023-07-01,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),4534,3,data/audio/unforgiven_(feat._nile_rodgers)_le_sserafim.flac,86.08458638191223,23.9840030670166,67.72326231002808,66.45106673240662,3.7620529532432556,42.19363629817963,84.48354005813599,94.67973113059998,92.69662499427795,52.13354825973511,104.0
Inkigayo,2023-07-02,Jisoo,Flower,6961,1,data/audio/flower_jisoo.flac,94.0794587135315,27.301889657974243,66.68558716773987,62.01741695404053,29.18401062488556,19.912278652191162,67.84092783927917,83.40209126472473,81.9697380065918,51.23175382614136,124.0
Inkigayo,2023-07-02,LE SSERAFIM,"Eve, Psyche & The Bluebeard's wife",6626,2,"data/audio/eve,_psyche_&_the_bluebeard's_wife_le_sserafim.flac",97.7164626121521,13.404735922813416,73.78220558166504,81.9789707660675,3.049512207508087,60.6792688369751,96.54896855354309,44.851723313331604,95.6777274608612,46.25094532966614,143.0
Inkigayo,2023-07-02,aespa,Spicy,6193,3,data/audio/spicy_aespa.flac,96.22032046318054,9.802157431840897,79.79329824447632,84.6139907836914,0.548909604549408,39.532700181007385,97.05479145050049,86.12024784088135,97.1976637840271,50.52409768104553,115.0
The Show,2023-07-04,Han Seung-woo,Dive Into,7390,1,data/audio/dive_into_han_seung-woo.flac,91.36683940887451,39.52822387218475,58.82506966590881,43.920764327049255,8.835159987211227,13.19025307893753,79.5842707157135,90.71998000144958,85.18184423446655,54.61931824684143,96.0
The Show,2023-07-04,WEi,OVERDRIVE,5802,2,data/audio/overdrive_wei.flac,88.19965124130249,30.021435022354126,74.95049834251404,71.13001942634583,5.376174300909042,36.749354004859924,89.3198311328888,91.09784960746765,95.3708291053772,51.43604874610901,160.0
The Show,2023-07-04,8TURN,EXCEL,2949,3,data/audio/excel_8turn.flac,93.82556080818176,14.505870640277863,70.74660062789917,87.43652105331421,5.442485585808754,48.12219738960266,91.93384647369385,83.86064767837524,93.34975481033325,50.12205243110657,118.0
Show Champion,2023-07-05,SHINee,HARD,7946,1,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
Show Champion,2023-07-05,Lim Young-woong,Grains of Sand,5375,2,data/audio/grains_of_sand_lim_young-woong.flac,12.895950675010681,97.83596396446228,10.488443821668625,9.557799994945526,99.09940361976624,3.1731706112623215,11.206652969121933,83.14142227172852,64.42267298698425,50.18497109413147,130.0
Show Champion,2023-07-05,WEi,OVERDRIVE,2888,3,data/audio/overdrive_wei.flac,88.19965124130249,30.021435022354126,74.95049834251404,71.13001942634583,5.376174300909042,36.749354004859924,89.3198311328888,91.09784960746765,95.3708291053772,51.43604874610901,160.0
Show Champion,2023-07-05,Tophyun,Only You,2648,4,data/audio/only_you_tophyun.flac,14.390906691551208,96.9323992729187,18.4959813952446,4.952181875705719,96.91503047943115,4.88036535680294,9.543196856975555,93.95992755889893,82.25736021995544,51.74173712730408,67.0
Show Champion,2023-07-05,Kassy,Crush On You,2484,5,data/audio/crush_on_you_kassy.flac,69.04293894767761,72.2583532333374,40.799713134765625,21.74433320760727,25.932857394218445,24.189069867134094,58.954739570617676,90.24165272712708,83.99006724357605,50.735098123550415,85.0
M Countdown,2023-07-06,BTS,Take Two,7671,1,data/audio/take_two_bts.flac,56.10278844833374,71.70653939247131,48.81867468357086,35.7835590839386,54.12984490394592,20.867760479450226,54.0694534778595,87.3311996459961,83.44860672950745,50.29456615447998,93.0
M Countdown,2023-07-06,SHINee,HARD,6146,2,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
Music Bank,2023-07-07,SHINee,HARD,6453,1,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
Music Bank,2023-07-07,SEVENTEEN,_WORLD,4175,2,data/audio/_world_seventeen.flac,89.29395079612732,28.335040807724,82.74133205413818,72.2665011882782,8.8174968957901,61.446696519851685,81.04332089424133,97.54589796066284,93.26107501983643,51.51172876358032,111.0
Show! Music Core,2023-07-08,SHINee,HARD,9196,1,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
Show! Music Core,2023-07-08,aespa,Spicy,5408,2,data/audio/spicy_aespa.flac,96.22032046318054,9.802157431840897,79.79329824447632,84.6139907836914,0.548909604549408,39.532700181007385,97.05479145050049,86.12024784088135,97.1976637840271,50.52409768104553,115.0
Show! Music Core,2023-07-08,Lim Young-woong,Grains of Sand,5015,3,data/audio/grains_of_sand_lim_young-woong.flac,12.895950675010681,97.83596396446228,10.488443821668625,9.557799994945526,99.09940361976624,3.1731706112623215,11.206652969121933,83.14142227172852,64.42267298698425,50.18497109413147,130.0
Inkigayo,2023-07-09,SHINee,HARD,6666,1,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
Inkigayo,2023-07-09,LE SSERAFIM,"Eve, Psyche & The Bluebeard's wife",6235,2,"data/audio/eve,_psyche_&_the_bluebeard's_wife_le_sserafim.flac",97.7164626121521,13.404735922813416,73.78220558166504,81.9789707660675,3.049512207508087,60.6792688369751,96.54896855354309,44.851723313331604,95.6777274608612,46.25094532966614,143.0
Inkigayo,2023-07-09,aespa,Spicy,6037,3,data/audio/spicy_aespa.flac,96.22032046318054,9.802157431840897,79.79329824447632,84.6139907836914,0.548909604549408,39.532700181007385,97.05479145050049,86.12024784088135,97.1976637840271,50.52409768104553,115.0
Show Champion,2023-07-12,SHINee,HARD,6578,1,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
Show Champion,2023-07-12,TREASURE,MOVE (T5),4103,2,data/audio/move_(t5)_treasure.flac,86.49529218673706,30.549460649490356,60.05246043205261,64.05175924301147,11.120795458555222,40.00597596168518,77.36063003540039,82.86473751068115,93.16607117652893,49.396130442619324,95.0
Show Champion,2023-07-12,BOL4,Someday (ft HaHyunSang),3099,3,data/audio/someday_(ft_hahyunsang)_bol4.flac,19.70670223236084,96.01739048957825,21.525347232818604,9.630709886550903,61.06464862823486,8.19840356707573,28.895071148872375,91.07139706611633,74.99414682388306,53.87468338012695,100.0
Show Champion,2023-07-12,ZiA,Because You Don't Love Me,2517,4,data/audio/because_you_don't_love_me_zia.flac,31.74501061439514,90.01971483230591,24.486523866653442,11.621061712503433,73.05103540420532,3.462842106819153,18.80614459514618,92.59859919548035,79.2811632156372,52.57173776626587,130.0
Show Champion,2023-07-12,WEi,OVERDRIVE,2464,5,data/audio/overdrive_wei.flac,88.19965124130249,30.021435022354126,74.95049834251404,71.13001942634583,5.376174300909042,36.749354004859924,89.3198311328888,91.09784960746765,95.3708291053772,51.43604874610901,160.0
M Countdown,2023-07-13,NewJeans,Super Shy,5848,1,data/audio/super_shy_newjeans.flac,93.73669028282166,27.225741744041443,61.369651556015015,80.14034628868103,7.522713392972946,63.82858157157898,92.17225909233093,49.59845542907715,94.27002668380737,47.1398651599884,150.0
M Countdown,2023-07-13,SHINee,HARD,4421,2,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
Music Bank,2023-07-14,(G)I-DLE,Queencard,5154,1,data/audio/queencard_(g)i-dle.flac,92.97467470169067,14.018900692462921,81.47205710411072,88.0885660648346,1.0554456152021885,87.54774928092957,94.29084062576294,80.35699129104614,98.42963218688965,48.34466874599457,130.0
Music Bank,2023-07-14,SHINee,HARD,4556,2,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
Show! Music Core,2023-07-15,Lim Young-woong,Grains of Sand,6691,1,data/audio/grains_of_sand_lim_young-woong.flac,12.895950675010681,97.83596396446228,10.488443821668625,9.557799994945526,99.09940361976624,3.1731706112623215,11.206652969121933,83.14142227172852,64.42267298698425,50.18497109413147,130.0
Show! Music Core,2023-07-15,NewJeans,Super Shy,4313,2,data/audio/super_shy_newjeans.flac,93.73669028282166,27.225741744041443,61.369651556015015,80.14034628868103,7.522713392972946,63.82858157157898,92.17225909233093,49.59845542907715,94.27002668380737,47.1398651599884,150.0
Show! Music Core,2023-07-15,SHINee,HARD,4288,3,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
Inkigayo,2023-07-16,LE SSERAFIM,"Eve, Psyche & The Bluebeard's wife",6463,1,"data/audio/eve,_psyche_&_the_bluebeard's_wife_le_sserafim.flac",97.7164626121521,13.404735922813416,73.78220558166504,81.9789707660675,3.049512207508087,60.6792688369751,96.54896855354309,44.851723313331604,95.6777274608612,46.25094532966614,143.0
Inkigayo,2023-07-16,aespa,Spicy,5718,2,data/audio/spicy_aespa.flac,96.22032046318054,9.802157431840897,79.79329824447632,84.6139907836914,0.548909604549408,39.532700181007385,97.05479145050049,86.12024784088135,97.1976637840271,50.52409768104553,115.0
Inkigayo,2023-07-16,IVE,Kitsch,4835,3,data/audio/kitsch_ive.flac,90.35696983337402,23.851926624774933,73.78852367401123,79.01315093040466,2.538682334125042,31.759464740753174,91.08204245567322,83.38983058929443,91.97850227355957,48.07521998882294,102.0
The Show,2023-07-18,ZEROBASEONE,In Bloom,9350,1,data/audio/in_bloom_zerobaseone.flac,83.5175096988678,35.21207869052887,64.40035700798035,68.39159727096558,14.171580970287323,46.63068354129791,79.89341616630554,86.83910965919495,93.99515390396118,50.94119906425476,164.0
The Show,2023-07-18,Odd Eye Circle,Air Force One,2325,2,data/audio/air_force_one_odd_eye_circle.flac,95.02060413360596,12.72335946559906,77.95233130455017,88.24418783187866,3.097851015627384,66.54320955276489,93.7254548072815,61.2055242061615,96.31009101867676,48.55095446109772,138.0
The Show,2023-07-18,KISS OF LIFE,Shhh,1327,3,data/audio/shhh_kiss_of_life.flac,91.4421796798706,16.15690141916275,75.55624842643738,79.70097661018372,1.5776552259922028,45.60513198375702,89.07936215400696,82.77095556259155,93.67351531982422,50.351303815841675,100.0
Show Champion,2023-07-19,ZEROBASEONE,In Bloom,6425,1,data/audio/in_bloom_zerobaseone.flac,83.5175096988678,35.21207869052887,64.40035700798035,68.39159727096558,14.171580970287323,46.63068354129791,79.89341616630554,86.83910965919495,93.99515390396118,50.94119906425476,164.0
Show Champion,2023-07-19,EXO,Cream Soda,5631,2,data/audio/cream_soda_exo.flac,93.71654391288757,21.695977449417114,80.34234046936035,71.68846130371094,6.495698541402817,52.02290415763855,82.524973154068,93.04126501083374,95.52915692329407,51.508164405822754,155.0
Show Champion,2023-07-19,Jung Kook,Seven (feat. Latto),4789,3,data/audio/seven_(feat._latto)_jung_kook.flac,92.42751002311707,18.527913093566895,74.16524887084961,76.27918720245361,15.32064974308014,36.20540797710419,84.93441939353943,79.44310903549194,93.94454956054688,52.19966173171997,125.0
Show Champion,2023-07-19,NMIXX,Party O'Clock,4109,4,data/audio/party_o'clock_nmixx.flac,95.79328298568726,16.09267294406891,78.3511221408844,85.29285192489624,0.4081896971911192,50.94347596168518,93.85212659835815,72.9137122631073,97.52199053764343,48.677054047584534,128.0
Show Champion,2023-07-19,SHINee,HARD,2485,5,data/audio/hard_shinee.flac,89.48729038238525,25.386229157447815,66.48190021514893,75.66878199577332,5.885448679327965,47.299668192863464,86.56745553016663,77.13002562522888,95.3186571598053,47.07615673542023,92.0
M Countdown,2023-07-20,Jung Kook,Seven (feat. Latto),6068,1,data/audio/seven_(feat._latto)_jung_kook.flac,92.42751002311707,18.527913093566895,74.16524887084961,76.27918720245361,15.32064974308014,36.20540797710419,84.93441939353943,79.44310903549194,93.94454956054688,52.19966173171997,125.0
M Countdown,2023-07-20,NewJeans,Super Shy,5344,2,data/audio/super_shy_newjeans.flac,93.73669028282166,27.225741744041443,61.369651556015015,80.14034628868103,7.522713392972946,63.82858157157898,92.17225909233093,49.59845542907715,94.27002668380737,47.1398651599884,150.0
Music Bank,2023-07-21,EXO,Cream Soda,7269,1,data/audio/cream_soda_exo.flac,93.71654391288757,21.695977449417114,80.34234046936035,71.68846130371094,6.495698541402817,52.02290415763855,82.524973154068,93.04126501083374,95.52915692329407,51.508164405822754,155.0
Music Bank,2023-07-21,ZEROBASEONE,In Bloom,6368,2,data/audio/in_bloom_zerobaseone.flac,83.5175096988678,35.21207869052887,64.40035700798035,68.39159727096558,14.171580970287323,46.63068354129791,79.89341616630554,86.83910965919495,93.99515390396118,50.94119906425476,164.0
Show! Music Core,2023-07-22,NewJeans,Super Shy,6078,1,data/audio/super_shy_newjeans.flac,93.73669028282166,27.225741744041443,61.369651556015015,80.14034628868103,7.522713392972946,63.82858157157898,92.17225909233093,49.59845542907715,94.27002668380737,47.1398651599884,150.0
Show! Music Core,2023-07-22,EXO,Cream Soda,5767,2,data/audio/cream_soda_exo.flac,93.71654391288757,21.695977449417114,80.34234046936035,71.68846130371094,6.495698541402817,52.02290415763855,82.524973154068,93.04126501083374,95.52915692329407,51.508164405822754,155.0
Show! Music Core,2023-07-22,Jung Kook,Seven (feat. Latto),5222,3,data/audio/seven_(feat._latto)_jung_kook.flac,92.42751002311707,18.527913093566895,74.16524887084961,76.27918720245361,15.32064974308014,36.20540797710419,84.93441939353943,79.44310903549194,93.94454956054688,52.19966173171997,125.0
Inkigayo,2023-07-23,NewJeans,Super Shy,6994,1,data/audio/super_shy_newjeans.flac,93.73669028282166,27.225741744041443,61.369651556015015,80.14034628868103,7.522713392972946,63.82858157157898,92.17225909233093,49.59845542907715,94.27002668380737,47.1398651599884,150.0
Inkigayo,2023-07-23,Jung Kook,Seven (feat. Latto),4915,2,data/audio/seven_(feat._latto)_jung_kook.flac,92.42751002311707,18.527913093566895,74.16524887084961,76.27918720245361,15.32064974308014,36.20540797710419,84.93441939353943,79.44310903549194,93.94454956054688,52.19966173171997,125.0
Inkigayo,2023-07-23,Parc Jae-jung,Let's Say Goodbye,4104,3,data/audio/let's_say_goodbye_parc_jae-jung.flac,20.753225684165955,92.78590679168701,21.943488717079163,8.696401864290237,97.0653772354126,5.2928052842617035,11.775213479995728,93.5141921043396,77.34882235527039,51.581013202667236,136.0
The Show,2023-07-25,ZEROBASEONE,In Bloom,8480,1,data/audio/in_bloom_zerobaseone.flac,83.5175096988678,35.21207869052887,64.40035700798035,68.39159727096558,14.171580970287323,46.63068354129791,79.89341616630554,86.83910965919495,93.99515390396118,50.94119906425476,164.0
The Show,2023-07-25,MIRAE,JUMP!,3282,2,data/audio/jump!_mirae.flac,93.1736409664154,18.28285902738571,72.82048463821411,77.57430076599121,2.6045821607112885,58.898258209228516,90.46278595924377,89.87857699394226,97.31505513191223,50.24886727333069,103.0
The Show,2023-07-25,KISS OF LIFE,Shhh,1578,3,data/audio/shhh_kiss_of_life.flac,91.4421796798706,16.15690141916275,75.55624842643738,79.70097661018372,1.5776552259922028,45.60513198375702,89.07936215400696,82.77095556259155,93.67351531982422,50.351303815841675,100.0
Show Champion,2023-07-26,NCT DREAM,ISTJ,5387,1,data/audio/istj_nct_dream.flac,90.04550576210022,23.285433650016785,71.66210412979126,77.99285650253296,7.753729075193405,37.52637803554535,88.77655863761902,75.44959783554077,96.68389558792114,48.17160964012146,122.0
Show Champion,2023-07-26,Jung Kook,Seven (feat. Latto),5297,2,data/audio/seven_(feat._latto)_jung_kook.flac,92.42751002311707,18.527913093566895,74.16524887084961,76.27918720245361,15.32064974308014,36.20540797710419,84.93441939353943,79.44310903549194,93.94454956054688,52.19966173171997,125.0
Show Champion,2023-07-26,NewJeans,Super Shy,4195,3,data/audio/super_shy_newjeans.flac,93.73669028282166,27.225741744041443,61.369651556015015,80.14034628868103,7.522713392972946,63.82858157157898,92.17225909233093,49.59845542907715,94.27002668380737,47.1398651599884,150.0
Show Champion,2023-07-26,ZEROBASEONE,In Bloom,1860,4,data/audio/in_bloom_zerobaseone.flac,83.5175096988678,35.21207869052887,64.40035700798035,68.39159727096558,14.171580970287323,46.63068354129791,79.89341616630554,86.83910965919495,93.99515390396118,50.94119906425476,164.0
Show Champion,2023-07-26,NMIXX,Party O'Clock,1268,5,data/audio/party_o'clock_nmixx.flac,95.79328298568726,16.09267294406891,78.3511221408844,85.29285192489624,0.4081896971911192,50.94347596168518,93.85212659835815,72.9137122631073,97.52199053764343,48.677054047584534,128.0
M Countdown,2023-07-27,Jung Kook,Seven (feat. Latto),7606,1,data/audio/seven_(feat._latto)_jung_kook.flac,92.42751002311707,18.527913093566895,74.16524887084961,76.27918720245361,15.32064974308014,36.20540797710419,84.93441939353943,79.44310903549194,93.94454956054688,52.19966173171997,125.0
