Show,Date,Placement,Artist,Song,Total
Show Champion,2023-06-14,4,P1Harmony,JUMP,2128
Show Champion,2023-06-21,4,Kassy,Crush On You,2916
Show Champion,2023-07-05,3,WEi,OVERDRIVE,2888
Show Champion,2023-07-05,4,Tophyun,Only You,2648
Show Champion,2023-07-05,5,Kassy,Crush On You,2484
Show Champion,2023-07-12,2,TREASURE,MOVE (T5),4103
Show Champion,2023-07-12,3,BOL4,Someday (ft HaHyunSang),3099
Show Champion,2023-07-12,4,ZiA,Because You Don't Love Me,2517
Show Champion,2023-07-12,5,WEi,OVERDRIVE,2464
Show Champion,2023-07-19,4,NMIXX,Party O'Clock,4109
Show Champion,2023-07-26,5,NMIXX,Party O'Clock,1268
Show Champion,2023-08-02,3,TREASURE,BONA BONA,3095
Show Champion,2023-08-09,2,TREASURE,BONA BONA,3983
Show Champion,2023-08-09,5,xikers,DO or DIE,2208
Show Champion,2023-08-16,2,TREASURE,BONA BONA,3352
Show Champion,2023-08-16,4,SOMI,Fast Forward,1729
Show Champion,2023-08-30,5,SOMI,Fast Forward,3431
Show Champion,2023-09-06,4,SOMI,Fast Forward,3129
Show Champion,2023-09-06,5,n.Ssign,Wormhole: New Track,1356
Show Champion,2023-09-13,4,RIIZE,Get A Guitar,3155
Show Champion,2023-09-13,5,HWASA,I Love My Body,1689
Show Champion,2023-09-20,2,HWASA,I Love My Body,4360
Show Champion,2023-09-20,4,Cravity,Ready Or Not,3139
Show Champion,2023-09-20,5,KEY,Good & Great,2765
Show Champion,2023-09-27,2,HWASA,I Love My Body,5020
Show Champion,2023-09-27,3,EVNNE,TROUBLE,4194
Show Champion,2023-09-27,4,D.O,Somebody,2026
Show Champion,2023-09-27,5,RIIZE,Get A Guitar,1777
Show Champion,2023-10-11,3,JENNIE,You & Me,4383
Show Champion,2023-10-11,4,BIGNaughty,Vancouver 2,2778
Show Champion,2023-10-11,5,EPEX,FULL METAL JACKET,2683
Show Champion,2023-10-18,2,JENNIE,You & Me,4979
Show Champion,2023-10-25,3,JENNIE,You & Me,4176
Show Champion,2023-10-25,5,"Sung Si-Kyung, Naul",Even For A Moment,1720
Show Champion,2023-11-01,3,JENNIE,You & Me,3547
Show Champion,2023-11-01,4,"Sung Si-Kyung, Naul",Even For A Moment,2593
Show Champion,2023-11-08,5,Golden Child,Feel Me,2314
Show Champion,2023-11-15,2,ZEROBASEONE,CRUSH,5356
Show Champion,2023-12-06,3,Dreamcatcher,OOTD,3260
Show Champion,2024-01-24,3,HUI,Hmm BOP,2462
Show Champion,2024-01-24,4,SF9,BIBORA,2165
Show Champion,2024-01-24,5,YENA,Good Morning,1776
Show Champion,2024-01-31,5,CIX,Lovers Or Enemies,2239
Show Champion,2024-02-07,4,GroovyRoom,"Yes or No (ft. Huh Yunjin, Crush)",3046
Show Champion,2024-02-07,5,Jukjae,Midnight Call,1617
Show Champion,2024-02-14,4,GroovyRoom,"Yes or No (ft. Huh Yunjin, Crush)",1636
Show Champion,2024-02-21,2,n.Ssign,Happy &,3990
Show Champion,2024-02-21,3,TEN,Nightwalker,3897
Show Champion,2024-02-28,3,Moon Byul,TOUCHIN&MOVIN,3384
Show Champion,2024-02-28,4,IU,Holssi,2441
Show Champion,2024-02-28,5,Twice,ONE SPARK,2142
Show Champion,2024-03-06,4,Taeyoung,TAP,3106
Show Champion,2024-03-13,5,xikers,We Don't Stop,2860
Show Champion,2024-03-20,4,WENDY,Wish You Hell,2172
Show Champion,2024-03-20,5,xikers,We Don't Stop,1646
Show Champion,2024-03-27,3,THE NEW SIX,FUEGO,3291
Show Champion,2024-03-27,4,n.Ssign,FUNK JAM,3287
Show Champion,2024-03-27,5,DAY6,Welcome to the Show,2518
Show Champion,2024-04-03,3,DAY6,Welcome to the Show,3586
Show Champion,2024-04-03,4,DAVICHI,I'll be by your side,1810
Show Champion,2024-04-03,5,UNIS,SUPERWOMAN,1383
Show Champion,2024-04-10,3,KISS OF LIFE,Midas Touch,2487
Show Champion,2024-04-10,5,DAY6,Welcome to the Show,1406
Show Champion,2024-04-17,2,EPEX,Youth2Youth,3953
Show Champion,2024-04-24,2,QWER,T.B.H,3551
Show Champion,2024-04-24,4,KISS OF LIFE,Midas Touch,1576
Show Champion,2024-04-24,5,Woody,When You Alone,1442
Show Champion,2024-05-01,3,YUQI,FREAK,3221
Show Champion,2024-05-01,4,KISS OF LIFE,Midas Touch,2139
Show Champion,2024-05-01,5,EPEX,Youth2Youth,2048
Show Champion,2024-05-08,3,IVE,HEYA,3635
Show Champion,2024-05-08,4,Xdinary Heroes,Little Things,2654
Show Champion,2024-05-22,5,FANTASY BOYS,Pitter-Patter-Love,1341
Show Champion,2024-05-29,3,NEXZ,Ride the Vice,3383
Show Champion,2024-05-29,5,ONEUS,Now,1194
Show Champion,2024-06-05,4,TREASURE,KING KONG,2463
Show Champion,2024-06-05,5,DXMON,"Girls, Love boys, Love girls",1365
Show Champion,2024-06-19,3,NewJeans,Bubble Gum,3657
Show Champion,2024-06-19,4,EVERGLOW,ZOMBIE,2403
Show Champion,2024-06-19,5,TREASURE,KING KONG,932
Show Champion,2024-06-26,2,JxW,Last Night,5065
Show Champion,2024-06-26,3,EVNNE,Badder Love,4566
Show Champion,2024-07-03,2,Red Velvet,Cosmic,4403
Show Champion,2024-07-03,5,H1-Key,Let It Burn,1313
Show Champion,2024-07-17,4,Dreamcatcher,JUSTICE,3898
Show Champion,2024-07-31,4,nSSign,Tiger (New Flavour),1062
Show Champion,2024-08-07,3,ENHYPEN,Brought The Heat Back,3765
Show Champion,2024-08-07,4,TONY,Jigglin',2895
Show Champion,2024-08-14,2,UNIS,Curious,5226
Show Champion,2024-08-14,3,BamBam,LAST PARADE,1985
Show Champion,2024-08-14,5,nSSign,Tiger (New Flavour),1095
Show Champion,2024-09-04,5,Oh My Girl,Classified,3147
Show Champion,2024-09-11,4,YOUNHA,Sunfish,3234
Show Champion,2024-09-11,5,Tzuyu,Run Away,2506
Show Champion,2024-09-25,4,MEOVV,MEOW,2153
Show Champion,2024-10-02,5,FIFTY FIFTY,SOS,2320
Show Champion,2024-10-09,4,YENA,NEMONEMO,2550
Show Champion,2024-10-09,5,FIFTY FIFTY,SOS,1418
Show Champion,2024-10-23,3,Xdinary Heroes,Night before the end,2444
Show Champion,2024-10-23,5,Billlie,remembrance candy,1286
Show Champion,2024-10-30,4,ILLIT,Cherish (My Love),2167
Show Champion,2024-11-06,4,ILLIT,Cherish (My Love),2186
Show Champion,2024-11-13,4,EPEX,UNIVERSE,1954
Show Champion,2024-11-13,5,BABYMONSTER,DRIP,1944
Show Champion,2024-11-20,2,ENHYPEN,No Doubt,5218
Show Champion,2024-11-20,3,BABYMONSTER,DRIP,4510
Show Champion,2024-12-04,2,TWS,Last Festival,3985
Show Champion,2024-12-04,3,Hwang Kagam,I'm Firefly,3903
Show Champion,2024-12-04,4,IRENE,Like A Flower,2140
Show Champion,2024-12-04,5,izna,IZNA,1995
Show Champion,2025-02-12,3,CIX,THUNDER,2393
Show Champion,2025-02-12,4,RESCENE,Glow Up,2392
Show Champion,2025-02-12,5,KickFlip,Mama Said,2040
Show Champion,2025-03-05,4,ALL(H)OURS,GIMME GIMME,1646
Show Champion,2025-03-05,5,NouerA,N.I.N (New is Now),1177
Show Champion,2025-03-12,3,Infinite,Dangerous,2537
Show Champion,2025-03-12,4,8TURN,LEGGO,2185
Show Champion,2025-03-19,4,HOSHI X WOOZI,96ers,2941
Show Champion,2025-03-26,2,THE BOYZ,VVV,5118
Show Champion,2025-04-02,4,THE NEW SIX,For Real!?,2948
Show Champion,2025-04-09,5,xikers,BREATHE,2803
Show! Music Core,2023-09-02,3,SOMI,Fast Forward,3432
Show! Music Core,2023-09-16,3,SOMI,Fast Forward,3978
Show! Music Core,2023-09-23,2,KEY,Good & Great,4893
Show! Music Core,2023-09-23,3,SOMI,Fast Forward,3330
Show! Music Core,2023-10-21,3,JENNIE,You & Me,3482
Show! Music Core,2023-10-28,3,JENNIE,You & Me,5982
Show! Music Core,2023-11-04,3,JENNIE,You & Me,3340
Show! Music Core,2024-01-27,3,Lim Jae-hyun,Rhapsody Of Sadness,5039
Show! Music Core,2024-02-03,3,Lim Jae-hyun,Rhapsody Of Sadness,3638
Show! Music Core,2024-05-04,3,QWER,T.B.H,5790
Show! Music Core,2024-05-11,2,IVE,HEYA,5923
Show! Music Core,2024-05-18,3,IVE,HEYA,4873
Show! Music Core,2024-05-25,2,IVE,HEYA,6220
Show! Music Core,2024-06-08,3,IVE,HEYA,3997
Show! Music Core,2024-06-15,3,IVE,HEYA,3928
Show! Music Core,2024-06-22,3,IVE,HEYA,4093
Show! Music Core,2024-07-06,2,Red Velvet,Cosmic,5203
Show! Music Core,2024-08-31,2,TAEMIN,Sexy In The Air,5667
Show! Music Core,2024-09-14,2,ONEW,beat drum,6283
Show! Music Core,2024-10-12,3,YENA,NEMONEMO,3768
Show! Music Core,2024-10-19,3,AB6IX,NVKED,3562
Show! Music Core,2024-11-02,3,ILLIT,Cherish (My Love),2596
Show! Music Core,2024-11-16,3,G-Dragon,POWER,4226
Show! Music Core,2024-11-23,3,G-Dragon,POWER,4871
Show! Music Core,2024-11-30,3,Taeyeon,Letter To Myself,3484
Show! Music Core,2024-12-21,3,ROSÉ,toxic till the end,4036
Show! Music Core,2025-01-11,2,ROSÉ,toxic till the end,5137
Show! Music Core,2025-01-11,3,JAESSBEE,Every Moment With You,4054
Show! Music Core,2025-01-25,3,ROSÉ,toxic till the end,5646
Show! Music Core,2025-03-15,2,Infinite,Dangerous,4474
Show! Music Core,2025-03-29,2,THE BOYZ,VVV,5141
The Show,2022-04-19,2,DKZ,Cupid,3560
The Show,2022-04-26,2,DKZ,Cupid,7900
The Show,2022-04-26,3,EPEX,Anthem of Teen Spirit,2948
The Show,2023-05-30,2,ATBO,Next To Me,3378
The Show,2023-05-30,3,KARD,ICKY,2925
The Show,2023-06-06,2,CIX,"Save me, Kill me",0
The Show,2023-06-06,3,KARD,ICKY,0
The Show,2023-06-13,2,P1Harmony,JUMP,4665
The Show,2023-06-13,3,THE NEW SIX,Kick It 4 Now,1424
The Show,2023-06-20,3,KUN8,Wild Heart,2377
The Show,2023-06-27,2,Kim Jae-hwan,Lucky! (ft. Bobby),3070
The Show,2023-06-27,3,LAPILLUS,Who's Next,1457
The Show,2023-07-04,2,WEi,OVERDRIVE,5802
The Show,2023-07-04,3,8TURN,EXCEL,2949
The Show,2023-07-18,2,Odd Eye Circle,Air Force One,2325
The Show,2023-07-18,3,KISS OF LIFE,Shhh,1327
The Show,2023-07-25,2,MIRAE,JUMP!,3282
The Show,2023-07-25,3,KISS OF LIFE,Shhh,1578
The Show,2023-08-01,2,HORI7ON,SIX7EEN,3183
The Show,2023-08-01,3,MIRAE,JUMP!,2288
The Show,2023-08-08,2,xikers,DO or DIE,5693
The Show,2023-08-08,3,BBGIRLS,ONE MORE TIME,3852
The Show,2023-08-15,3,n.Ssign,Wormhole: New Track,3722
The Show,2023-08-29,2,Lee Chan Won,Twist Go Go,6210
The Show,2023-08-29,3,xikers,HOMEBOY,2932
The Show,2023-09-05,2,VANNER,PERFORMER,5850
The Show,2023-09-05,3,TIOT,Unbeatable,3466
The Show,2023-09-12,2,Lee Chae-yeon,LET'S DANCE,4804
The Show,2023-09-12,3,Kim Sejeong,Top or Cliff,3609
The Show,2023-09-19,2,RIIZE,Get A Guitar,6420
The Show,2023-09-19,3,Cravity,Ready Or Not,4769
The Show,2024-02-20,2,TEN,Nightwalker,4753
The Show,2024-03-05,2,A.C.E,My Girl,2929
The Show,2024-03-05,3,TRI.BE,Diamond,2465
The Show,2024-03-12,3,Kim Hee-Jae,What Should I do?,6640
The Show,2024-03-19,3,xikers,We Don't Stop,2507
The Show,2024-04-02,2,UNIS,SUPERWOMAN,3340
The Show,2024-04-02,3,YOUNG POSSE,XXL,2446
The Show,2024-04-09,2,NOWADAYS,OoWee,4277
The Show,2024-04-09,3,KISS OF LIFE,Midas Touch,3250
The Show,2024-04-16,2,KISS OF LIFE,Midas Touch,6036
The Show,2024-04-16,3,EPEX,Youth2Youth,4189
The Show,2024-04-23,3,EPEX,Youth2Youth,1957
The Show,2024-05-07,2,YOUNITE,GEEKIN,3761
The Show,2024-05-07,3,82MAJOR,Choke,2950
The Show,2024-05-14,2,Kim Jae-hwan,Amaid,5925
The Show,2024-05-14,3,YOUNITE,GEEKIN,3394
The Show,2024-05-21,3,ZEROBASEONE,SWEAT,3435
The Show,2024-05-28,3,ONEUS,Now,2988
The Show,2024-06-04,2,XG,WOKE UP,3355
The Show,2024-06-04,3,JD1,ERROR 405,1859
The Show,2024-06-11,3,TWS,hey!hey!,4998
The Show,2024-06-25,2,EVNNE,Badder Love,2812
The Show,2024-06-25,3,Kwon Eun-bi,SABOTAGE,2323
The Show,2024-07-02,2,H1-Key,Let It Burn,3036
The Show,2024-07-02,3,CHUU,Strawberry Rush,2982
The Show,2024-07-09,3,Lee Chae-yeon,Don't,2288
The Show,2024-08-20,2,UNIS,Curious,3031
The Show,2024-08-20,3,LUN8,WHIP,1697
The Show,2024-08-27,2,YOUNG POSSE,ATE THAT,3926
The Show,2024-08-27,3,DRIPPIN,Weekend,3128
The Show,2024-09-03,2,Oh My Girl,Classified,4735
The Show,2024-09-03,3,YOUNG POSSE,ATE THAT,2569
The Show,2024-09-24,2,Lee Jegyu,Mironi,4582
The Show,2024-09-24,3,xikers,Bittersweet,3990
The Show,2024-10-29,3,SAY MY NAME,WaveWay,2979
The Show,2024-11-05,2,STAYC,GPT,5942
The Show,2024-11-12,2,EPEX,UNIVERSE,7445
The Show,2024-11-12,3,VIVIZ,Shhh!,5348
The Show,2024-12-03,2,izna,IZNA,5519
The Show,2024-12-03,3,NOWADAYS,Let's get it,2814
The Show,2025-03-04,3,ARrC,nu kidz,1541
The Show,2025-03-11,2,GENBLUE,ACT LIKE THAT,3351
The Show,2025-03-11,3,NouerA,N.I.N (New is Now),2674
The Show,2025-03-25,2,SAY MY NAME,ShaLala,5640
The Show,2025-03-25,3,The Wind,Only One,2390
The Show,2025-04-01,3,THE NEW SIX,For Real!?,2139
The Show,2025-04-08,2,TEMPEST,Unfreeze,6330
The Show,2025-04-08,3,xikers,BREATHE,3245
