Show,Date,Placement,Artist,Song,Total,Album Sales,SNS (YouTube),Pre-Vote,On-Air,Live Vote,Digital
Inkigayo,12-15-2024,1.,G-Dragon,HOME SWEET HOME,"5,984",0,0,184,300,500,"5,000"
Inkigayo,12-15-2024,2.,Twice,Strategy (ft. Megan Thee Stallion),"4,166","1,000","1,676",0,700,254,536
Inkigayo,12-15-2024,3.,ROSÉ,number one girl,"3,816",292,"1,362",16,0,34,"2,112"
Inkigayo,12-01-2024,1.,aespa,Whiplash,"5,872",60,447,99,0,422,"4,844"
Inkigayo,12-01-2024,2.,G-Dragon,HOME SWEET HOME,"4,312",0,490,141,300,500,"2,881"
Inkigayo,12-01-2024,3.,BABYMONSTER,DRIP,"3,642",10,"2,000",94,0,79,"1,459"
Inkigayo,11-24-2024,1.,aespa,Whiplash,"5,690",3,567,63,0,57,"5,000"
Inkigayo,11-24-2024,2.,ENHYPEN,No Doubt,"4,208","1,000","2,000",100,0,500,608
Inkigayo,11-24-2024,3.,G-Dragon,POWER,"4,145",0,469,71,300,96,"3,209"
Inkigayo,11-17-2024,1.,aespa,Whiplash,"5,705",8,427,52,210,8,"5,000"
Inkigayo,11-17-2024,2.,TOMORROW X TOGETHER,Over The Moon,"5,186","1,000","2,000",189,700,500,797
Inkigayo,11-17-2024,3.,G-Dragon,POWER,"4,601",0,350,54,300,15,"3,882"
Inkigayo,11-10-2024,1.,ROSÉ,APT (with Bruno Mars),"7,407",0,"2,000",39,300,68,"5,000"
Inkigayo,11-10-2024,2.,aespa,Whiplash,"3,004",127,198,56,150,84,"2,389"
Inkigayo,11-10-2024,3.,THE BOYZ,TRIGGER,"2,611",397,826,145,700,500,43
Inkigayo,11-03-2024,1.,ROSÉ,APT (with Bruno Mars),"7,460",0,"2,000",29,300,131,"5,000"
Inkigayo,11-03-2024,2.,aespa,Whiplash,"4,195","1,000",902,51,38,500,"1,704"
Inkigayo,11-03-2024,3.,aespa,Up (KARINA),"2,045",0,0,0,0,43,"2,002"
Inkigayo,10-27-2024,1.,ROSÉ,APT (with Bruno Mars),"5,198",0,"2,000",0,0,38,"3,160"
Inkigayo,10-27-2024,2.,SEVENTEEN,"LOVE, MONEY, FAME","4,949","1,000",930,193,813,500,"1,513"
Inkigayo,10-27-2024,3.,aespa,Up (KARINA),"4,155",0,0,42,0,159,"3,954"
Inkigayo,10-06-2024,1.,DAY6,Happy,"4,428",2,0,0,129,500,"3,797"
Inkigayo,10-06-2024,2.,HWASA,NA,"3,120",4,"2,000",49,467,23,577
Inkigayo,10-06-2024,3.,DAY6,Welcome to the Show,"2,968",2,54,0,0,9,"2,903"
Inkigayo,09-29-2024,1.,DAY6,Happy,"6,380",5,0,0,375,500,"5,500"
Inkigayo,09-29-2024,2.,DAY6,Welcome to the Show,"4,585",5,102,0,0,0,"4,469"
Inkigayo,09-29-2024,3.,Lee Young-Ji,Small girl (ft. D.O.),"4,521",2,605,46,375,0,"3,487"
Inkigayo,09-22-2024,1.,BOYNEXTDOOR,Nice Guy,"6,371","1,000","3,000",248,500,500,"1,123"
Inkigayo,09-22-2024,2.,DAY6,Happy,"5,710",1,0,0,215,5,"5,489"
Inkigayo,09-22-2024,3.,DAY6,Melt Down,"5,225",14,196,147,0,207,"4,661"
Inkigayo,09-08-2024,1.,ZEROBASEONE,GOOD SO BAD,"5,739","1,000","3,000",207,417,500,615
Inkigayo,09-08-2024,2.,NewJeans,How Sweet,"5,676",2,98,19,0,57,"5,500"
Inkigayo,09-08-2024,3.,DAY6,Time of Our Life,"5,462",1,24,72,0,335,"5,030"
Inkigayo,09-01-2024,1.,NMIXX,See that?,"6,591","1,000","3,000",198,500,500,"1,393"
Inkigayo,09-01-2024,2.,NewJeans,How Sweet,"5,974",12,177,28,0,257,"5,500"
Inkigayo,09-01-2024,3.,KISS OF LIFE,Sticky,"5,165",0,263,28,0,1,"4,873"
Inkigayo,08-25-2024,1.,i-dle,Klaxon,"6,737",17,356,45,319,500,"5,500"
Inkigayo,08-25-2024,2.,NewJeans,How Sweet,"5,521",56,254,19,0,91,"5,101"
Inkigayo,08-25-2024,3.,KISS OF LIFE,Sticky,"4,992",0,366,19,0,7,"4,600"
Inkigayo,08-18-2024,1.,i-dle,Klaxon,"6,862",20,947,30,154,211,"5,500"
Inkigayo,08-18-2024,2.,STRAY KIDS,Chk Chk Boom,"6,292","1,000","3,000",114,424,500,"1,254"
Inkigayo,08-18-2024,3.,NewJeans,How Sweet,"6,059",92,645,17,0,35,"5,270"
Inkigayo,08-11-2024,1.,i-dle,Klaxon,"6,883",10,879,30,118,500,"5,346"
Inkigayo,08-11-2024,2.,NewJeans,How Sweet,"6,250",18,547,18,89,223,"5,355"
Inkigayo,08-11-2024,3.,KISS OF LIFE,Sticky,"5,508",0,792,30,0,25,"4,661"
Inkigayo,07-14-2024,1.,Lee Young-Ji,Small girl (ft. D.O.),"6,150",0,253,36,313,48,"5,500"
Inkigayo,07-14-2024,2.,NewJeans,How Sweet,"5,839",21,151,25,0,500,"5,142"
Inkigayo,07-14-2024,3.,QWER,T.B.H,"4,173",1,38,18,94,52,"4,173"
Inkigayo,07-07-2024,1.,Lee Young-Ji,Small girl (ft. D.O.),"7,227",0,"1,183",52,389,103,"5,500"
Inkigayo,07-07-2024,2.,TWS,"If I'm S, Can You Be My N?","6,189","1,000","3,000",48,778,500,863
Inkigayo,07-07-2024,3.,NewJeans,How Sweet,"5,626",7,394,26,167,42,"4,990"
Inkigayo,06-30-2024,1.,RIIZE,Boom Boom Bass,"6,353","1,000","3,000",255,250,500,"1,348"
Inkigayo,06-30-2024,2.,NewJeans,How Sweet,"6,157",7,489,24,96,41,"5,500"
Inkigayo,06-30-2024,3.,aespa,Armageddon,"4,508",29,749,49,72,4,"3,605"
Inkigayo,06-23-2024,1.,aespa,Supernova,"7,007",47,881,0,79,500,"5,500"
Inkigayo,06-23-2024,2.,NewJeans,How Sweet,"5,556",51,378,40,250,31,"4,806"
Inkigayo,06-23-2024,3.,Zico,SPOT! (feat. JENNIE),"4,309",0,595,12,329,9,"3,364"
Inkigayo,06-16-2024,1.,aespa,Supernova,"8,411",664,"1,656",0,91,500,"5,500"
Inkigayo,06-16-2024,2.,aespa,Armageddon,"6,607",664,"3,000",130,0,25,"2,788"
Inkigayo,06-16-2024,3.,NewJeans,How Sweet,"6,217",14,739,48,432,277,"4,707"
Inkigayo,05-26-2024,1.,aespa,Supernova,"6,807",0,"3,000",59,61,500,"3,187"
Inkigayo,05-26-2024,2.,Zico,SPOT! (feat. JENNIE),"6,465",0,482,16,216,251,"5,500"
Inkigayo,05-26-2024,3.,IVE,HEYA,"5,657",3,325,40,436,247,"4,606"
Inkigayo,05-19-2024,1.,Zico,SPOT! (feat. JENNIE),"7,968",0,"2,096",18,154,200,"5,500"
Inkigayo,05-19-2024,2.,IVE,HEYA,"6,744",56,"1,197",35,597,500,"4,359"
Inkigayo,05-19-2024,3.,BABYMONSTER,Sheesh,"5,796",44,"3,000",12,0,5,"2,735"
Inkigayo,05-12-2024,1.,Zico,SPOT! (feat. JENNIE),"6,861",0,"1,056",31,242,32,"5,500"
Inkigayo,05-12-2024,2.,SEVENTEEN,MAESTRO,"6,733","1,000","3,000",295,63,500,"1,875"
Inkigayo,05-12-2024,3.,IVE,HEYA,"6,205",521,"1,940",73,565,56,"3,050"
Inkigayo,05-05-2024,1.,ILLIT,Magnetic,"6,640",0,710,22,200,208,"5,500"
Inkigayo,05-05-2024,2.,BABYMONSTER,Sheesh,"5,998",29,"3,000",129,75,500,"2,265"
Inkigayo,05-05-2024,3.,TWS,plot twist,"4,474",3,74,30,150,39,"4,178"
Inkigayo,04-28-2024,1.,ILLIT,Magnetic,"6,306",110,525,24,109,38,"5,500"
Inkigayo,04-28-2024,2.,BOYNEXTDOOR,"Earth, Wind & Fire","5,778","1,000","3,000",241,653,500,384
Inkigayo,04-28-2024,3.,TWS,plot twist,"4,687",3,63,31,174,12,"4,404"
Inkigayo,04-21-2024,1.,ILLIT,Magnetic,"7,545",364,546,20,615,500,"5,500"
Inkigayo,04-21-2024,2.,TWS,plot twist,"5,447",14,72,33,43,461,"4,824"
Inkigayo,04-21-2024,3.,BIBI,Bam Yang Gang,"4,834",0,71,13,500,29,"4,221"
Inkigayo,04-14-2024,1.,i-dle,Fate,"6,056",11,0,0,45,500,"5,500"
Inkigayo,04-14-2024,2.,ILLIT,Magnetic,"5,291",53,324,23,612,121,"4,158"
