Show,Date,Placement,Artist,Song,Total,Album Sales,SNS (YouTube),Pre-Vote,On-Air,Live Vote,Digital
Inkigayo,04-14-2024,3.,TWS,plot twist,"4,882",10,40,26,67,68,"4,671"
Inkigayo,04-07-2024,1.,i-dle,Fate,"6,104",11,0,0,93,500,"5,500"
Inkigayo,04-07-2024,2.,ILLIT,Magnetic,"5,464",136,"3,000",43,500,302,"1,483"
Inkigayo,04-07-2024,3.,BIBI,Bam Yang Gang,"5,083",0,172,6,500,7,"4,398"
Inkigayo,03-31-2024,1.,i-dle,Fate,"6,119",52,0,0,67,500,"5,500"
Inkigayo,03-31-2024,2.,BIBI,Bam Yang Gang,"5,506",0,141,10,500,11,"4,844"
Inkigayo,03-31-2024,3.,TWS,plot twist,"5,272",56,109,74,117,207,"4,709"
Inkigayo,03-24-2024,1.,TWS,plot twist,"6,414",509,117,113,154,500,"5,021"
Inkigayo,03-24-2024,2.,BIBI,Bam Yang Gang,"6,219",0,197,7,500,15,"5,500"
Inkigayo,03-24-2024,3.,i-dle,Fate,"5,246",118,0,0,116,179,"4,833"
Inkigayo,03-17-2024,1.,BIBI,Bam Yang Gang,"6,729",0,698,12,500,19,"5,500"
Inkigayo,03-17-2024,2.,LE SSERAFIM,EASY,"6,593",269,"1,821",113,132,500,"3,758"
Inkigayo,03-17-2024,3.,TWS,plot twist,"5,367",0,345,110,264,31,"4,617"
Inkigayo,03-10-2024,1.,LE SSERAFIM,EASY,"7,148",81,"3,000",78,200,500,"3,289"
Inkigayo,03-10-2024,2.,BIBI,Bam Yang Gang,"6,333",0,302,15,500,16,"5,500"
Inkigayo,03-10-2024,3.,TWS,plot twist,"4,860",38,130,56,300,26,"4,310"
Inkigayo,03-03-2024,1.,LE SSERAFIM,EASY,"7,400","1,000","3,000",123,625,500,"2,152"
Inkigayo,03-03-2024,2.,BIBI,Bam Yang Gang,"6,268",0,235,16,500,17,"5,000"
Inkigayo,03-03-2024,3.,TWS,plot twist,"4,975",26,77,19,219,45,"4,589"
Inkigayo,02-25-2024,1.,IU,Love wins all,"7,692",0,"1,812",41,0,339,"5,500"
Inkigayo,02-25-2024,2.,TWS,plot twist,"6,107",348,509,32,500,500,"4,218"
Inkigayo,02-25-2024,3.,i-dle,Super Lady,"6,065",63,"3,000",15,0,210,"2,777"
Inkigayo,02-18-2024,1.,IU,Love wins all,"8,596",0,"2,131",83,500,382,"5,500"
Inkigayo,02-18-2024,2.,i-dle,Super Lady,"6,996","1,000","3,000",82,0,500,"2,414"
Inkigayo,02-18-2024,3.,i-dle,Wife,"6,269","1,000","2,584",0,0,1,"2,684"
Inkigayo,02-04-2024,1.,IU,Love wins all,"8,808",0,"3,000",47,250,500,"5,011"
Inkigayo,02-04-2024,2.,Taeyeon,To. X,"5,238",1,44,70,0,233,"4,890"
Inkigayo,02-04-2024,3.,Lim Jae-hyun,Rhapsody Of Sadness,"4,962",0,0,37,0,14,"4,911"
Inkigayo,01-28-2024,1.,NMIXX,DASH,"5,901","1,000","3,000",116,500,500,785
Inkigayo,01-28-2024,2.,Lim Jae-hyun,Rhapsody Of Sadness,"4,960",0,0,42,0,0,"4,918"
Inkigayo,01-28-2024,3.,Taeyeon,To. X,"4,377",1,59,58,0,21,"4,238"
Inkigayo,01-21-2024,1.,RIIZE,Love 119,"6,167",0,"3,000",127,334,500,"2,206"
Inkigayo,01-21-2024,2.,ITZY,UNTOUCHABLE,"5,530","1,000","2,654",117,"1,000",265,494
Inkigayo,01-14-2024,1.,aespa,Drama,"7,330",44,"2,053",20,0,500,"4,713"
Inkigayo,01-14-2024,2.,Taeyeon,To. X,"5,279",6,219,38,188,81,"4,747"
Inkigayo,01-14-2024,3.,JENNIE,You & Me,"5,203",0,"2,087",12,0,20,"3,084"
Inkigayo,01-07-2024,1.,aespa,Drama,"7,605",39,"2,464",10,250,500,"4,342"
Inkigayo,01-07-2024,2.,JENNIE,You & Me,"5,651",0,"2,774",12,0,12,"2,853"
Inkigayo,01-07-2024,3.,EXO,?,"5,368",0,0,42,0,221,"5,105"
