Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (Hanteo),SNS (YouTube),Pre-vote,Broadcast,Live Vote
The Show,04-08,1.,CLOSE YOUR EYES,All My Poetry,"8,605","4,000","1,000","2,000",380,740,485
The Show,04-08,2.,TEMPEST,Unfreeze,"6,330","3,510",160,280,500,880,"1,000"
The Show,04-08,3.,xikers,BREATHE,"3,245","1,360",300,550,140,850,45
The Show,04-01,1.,TEN,STUNNER,"8,600","4,000","1,000","1,210",500,890,"1,000"
The Show,04-01,2.,STAYC,BEBE,"6,880","3,570",140,"2,000",170,930,70
The Show,04-01,3.,THE NEW SIX,For Real!?,"2,139",100,100,"1,200",30,690,19
The Show,03-25,1.,STAYC,BEBE,"7,421",,,,,,
The Show,03-25,2.,SAY MY NAME,ShaLala,"5,640",,,,,,
The Show,03-25,3.,The Wind,Only One,"2,390",,,,,,
The Show,03-11,1.,Hearts2Hearts,The Chase,"8,500","4,000",770,"2,000",330,400,"1,000"
The Show,03-11,2.,GENBLUE,ACT LIKE THAT,"3,351",30,60,"1,720",500,990,51
The Show,03-11,3.,NouerA,N.I.N (New is Now),"2,674",60,"1,000","1,470",30,20,94
The Show,03-04,1.,ZEROBASEONE,BLUE,"9,570","4,000","1,000","2,000",500,"1,070","1,000"
The Show,03-04,2.,Hearts2Hearts,The Chase,"4,651","2,860",300,590,40,800,61
The Show,03-04,3.,ARrC,nu kidz,"1,541",20,10,270,10,"1,220",11
