Show,Date,Placement,Artist,Song,Total,Digital,Physical,Pre-vote,SNS,Broadcast
Show Champion,12-04-2024,1.,WayV,FREQUENCY,"4,859",483,"1,156","2,000",153,"1,067"
Show Champion,12-04-2024,2.,TWS,Last Festival,"3,985",202,"1,500",878,472,933
Show Champion,12-04-2024,3.,Hwang Kagam,I'm Firefly,"3,903","3,500",0,3,0,400
Show Champion,12-04-2024,4.,IRENE,Like A Flower,"2,140",266,949,887,38,0
Show Champion,12-04-2024,5.,izna,IZNA,"1,995",97,823,75,"1,000",0
Show Champion,11-20-2024,1.,NCT DREAM,When I'm With You,"7,169","3,281","1,500","2,000",388,0
Show Champion,11-20-2024,2.,ENHYPEN,No Doubt,"5,218","1,317","1,266","1,635","1,000",0
Show Champion,11-20-2024,3.,BABYMONSTER,DRIP,"4,510","3,500",9,26,975,0
Show Champion,11-20-2024,4.,ATEEZ,Ice On My Teeth,"3,207","1,206",636,671,694,0
Show Champion,11-20-2024,5.,TOMORROW X TOGETHER,Over The Moon,"2,120","1,497",31,116,476,0
Show Champion,11-13-2024,1.,TOMORROW X TOGETHER,Over The Moon,"4,992",492,"1,500","2,000","1,000",0
Show Champion,11-13-2024,2.,aespa,Whiplash,"3,779","3,500",10,56,213,0
Show Champion,11-13-2024,3.,Kep1er,TIPI-TAP,"2,623",0,119,126,378,"2,000"
Show Champion,11-13-2024,4.,EPEX,UNIVERSE,"1,954",75,216,50,546,"1,067"
Show Champion,11-13-2024,5.,BABYMONSTER,DRIP,"1,944",423,516,31,974,0
Show Champion,11-06-2024,1.,THE BOYZ,TRIGGER,"4,878",531,"1,500","1,847","1,000",0
Show Champion,11-06-2024,2.,JENNIE,Mantra,"4,590","2,590",0,"2,000",0,0
Show Champion,11-06-2024,3.,aespa,Whiplash,"4,013","3,500",97,177,239,0
Show Champion,11-06-2024,4.,ILLIT,Cherish (My Love),"2,186",816,39,333,65,933
Show Champion,11-06-2024,5.,tripleS,Hit the Floor,"1,805",0,91,35,612,"1,067"
