Show,Date,Placement,Artist,Song,Total,Digital sales,Broadcast,Voting,Physical album,Video views
Music Bank,10-27-2023,2.0,IVE,Either Way,"4,821","2,128",0,400,"2,200",93.0
Music Bank,10-20-2023,1.0,TOMORROW X TOGETHER,Chasing That Feeling,"8,897",63,"1,908","1,972","4,941",15.0
Music Bank,10-20-2023,2.0,NCT 127,Fact Check,"5,714",703,"1,908","2,000","1,054",49.0
Music Bank,10-20-2023,3.0,IVE,Either Way,"5,067","1,761",0,114,"3,156",36.0
Music Bank,10-20-2023,4.0,IVE,Baddie,"3,350",413,"2,900",1,0,36.0
Music Bank,10-20-2023,5.0,Jung Kook,3D,"3,202",669,"1,916",51,0,566.0
Music Bank,10-13-2023,1.0,NCT 127,Fact Check,"8,896",299,0,"2,000","6,585",12.0
Music Bank,10-13-2023,2.0,Jung Kook,3D,"4,694",798,"1,829","1,608",0,459.0
Music Bank,10-06-2023,1.0,ONEUS,Baila Conmigo,"5,408",17,"1,800","2,000","1,591",0.0
Music Bank,10-06-2023,2.0,RIIZE,Get A Guitar,"3,768",711,0,2,"3,019",36.0
Music Bank,10-06-2023,3.0,AKMU,Love Lee,"3,345","3,070",14,0,0,261.0
Music Bank,09-29-2023,1.0,TEMPEST,Vroom Vroom,"5,914",,,,,
Music Bank,09-29-2023,2.0,AKMU,Love Lee,"3,366",,,,,
Music Bank,09-29-2023,3.0,V,Slow Dancing,"2,776",,,,,
Music Bank,09-29-2023,4.0,NewJeans,Super Shy,"2,672",,,,,
Music Bank,09-29-2023,5.0,NewJeans,ETA,"2,633",,,,,
Music Bank,09-22-2023,1.0,V,Slow Dancing,"6,587",437,"2,121","2,000","1,942",87.0
Music Bank,09-22-2023,2.0,Cravity,Ready Or Not,"6,553",20,"2,912","1,047","2,573",1.0
Music Bank,09-15-2023,1.0,V,Slow Dancing,"9,234",154,"1,391","2,000","5,643",46.0
Music Bank,09-15-2023,2.0,RIIZE,Get A Guitar,"5,039",359,"1,016","1,558","2,098",8.0
Music Bank,09-08-2023,1.0,NCT U,Baggy Jeans,"11,881",319,"2,697","1,551","7,283",31.0
Music Bank,09-08-2023,2.0,Jung Kook,Seven (feat. Latto),"4,135","2,545",15,"1,142",0,433.0
Music Bank,09-01-2023,1.0,STAYC,Bubble,"5,928",889,"4,223",589,213,14.0
Music Bank,09-01-2023,2.0,JIHYO,Killin' Me Good,"4,991",93,"2,708","2,000",187,3.0
Music Bank,08-25-2023,1.0,JIHYO,Killin' Me Good,"5,525",5,"1,747","2,000","1,773",0.0
Music Bank,08-25-2023,2.0,STAYC,Bubble,"5,288",432,"3,386",359,"1,107",4.0
Music Bank,08-18-2023,1.0,THE BOYZ,LIP GLOSS,"7,306",271,"3,481","1,469","2,081",4.0
Music Bank,08-18-2023,2.0,NewJeans,Super Shy,"5,732","3,437","1,674",111,68,442.0
Music Bank,08-11-2023,1.0,ITZY,CAKE,"10,866",430,"4,444","1,915","4,054",23.0
Music Bank,08-11-2023,2.0,NewJeans,Super Shy,"5,885","3,659","1,326",104,377,419.0
Music Bank,08-11-2023,3.0,Oh My Girl,Summer Comes,"4,704",768,"3,831",9,93,3.0
Music Bank,08-11-2023,4.0,NewJeans,ETA,"3,577","3,134",23,1,0,419.0
Music Bank,08-11-2023,5.0,Jung Kook,Seven (feat. Latto),"3,455","2,796",8,50,0,601.0
Music Bank,08-04-2023,1.0,NCT DREAM,ISTJ,"6,122",843,"1,528","2,000","1,700",51.0
Music Bank,08-04-2023,2.0,TREASURE,BONA BONA,"5,611",7,0,0,"5,582",22.0
