Show,Date,Placement,Artist,Song,Total,Digital (Circle Global Kpop),Physical (Circle Album),SNS (YouTube),Pre-vote,Broadcast,Live Vote (Hidden)
M Countdown,10-31-2024,1.,ROSÉ,APT (with Bruno Mars),0,,,,,,
M Countdown,10-31-2024,2.,aespa,Whiplash,0,,,,,,
M Countdown,10-24-2024,1.,ROSÉ,APT (with Bruno Mars),"6,707","5,000",0,"1,500",47,0,160
M Countdown,10-24-2024,2.,SEVENTEEN,"LOVE, MONEY, FAME","6,637","1,929","1,500",527,"1,000",681,"1,000"
M Countdown,10-17-2024,1.,JENNIE,Mantra,"7,894","5,000",0,"1,500",394,0,"1,000"
M Countdown,10-17-2024,2.,aespa,Up (KARINA),"5,764","4,946",0,31,123,0,664
M Countdown,10-10-2024,1.,QWER,My Name Is Malgeum,"6,118","5,000",70,880,31,57,80
M Countdown,10-10-2024,2.,YEONJUN,GGUM,"6,108","2,727",0,"1,096","1,000",285,"1,000"
M Countdown,10-03-2024,1.,YEONJUN,GGUM,"6,642","3,601",0,741,"1,000",300,"1,000"
M Countdown,10-03-2024,2.,QWER,My Name Is Malgeum,"5,694","5,000",97,543,8,0,46
M Countdown,09-26-2024,1.,LE SSERAFIM,CRAZY,"6,608","5,000",16,897,176,414,
M Countdown,09-26-2024,2.,YEONJUN,GGUM,"4,821","1,381",0,"1,267","1,000",173,
M Countdown,09-19-2024,1.,LE SSERAFIM,CRAZY,0,,,,,,
M Countdown,09-19-2024,2.,BOYNEXTDOOR,Nice Guy,0,,,,,,
M Countdown,09-12-2024,1.,LE SSERAFIM,CRAZY,"7,694","5,000",86,"1,500",216,300,592
M Countdown,09-12-2024,2.,DAY6,Melt Down,"4,276","2,069",271,364,172,400,"1,000"
M Countdown,09-05-2024,1.,ZEROBASEONE,GOOD SO BAD,"8,790","2,808","1,500","1,482","1,000","1,000","1,000"
M Countdown,09-05-2024,2.,LE SSERAFIM,CRAZY,"7,589","5,000","1,025","1,269",145,24,126
M Countdown,08-29-2024,1.,NMIXX,See that?,"10,293","5,000","1,500","1,394",974,"1,000",425
M Countdown,08-29-2024,2.,PLAVE,Pump Up The Volume!,"6,345","3,908",0,437,"1,000",0,"1,000"
M Countdown,08-22-2024,1.,fromis_9,Supersonic,"9,953","5,000","1,500","1,175","1,000",500,778
M Countdown,08-22-2024,2.,JAEHYUN,Roses,"4,282","1,601",0,192,989,500,"1,000"
M Countdown,08-15-2024,1.,Jimin,Who,0,,,,,,
M Countdown,08-15-2024,2.,STRAY KIDS,Chk Chk Boom,0,,,,,,
M Countdown,08-08-2024,1.,Jimin,Who,"8,907","5,000",169,"1,158","1,000",723,857
M Countdown,08-08-2024,2.,STRAY KIDS,Chk Chk Boom,"6,757","2,338",382,"1,260",999,778,"1,000"
M Countdown,07-25-2024,1.,STRAY KIDS,Chk Chk Boom,0,"3,557","1,500","1,000","1,000",,
M Countdown,07-25-2024,2.,Jimin,Who,0,"5,000",405,429,"1,000",,
M Countdown,07-18-2024,1.,Jimin,Smeraldo Garden Marching Band (feat. LOCO),"6,966","4,599",0,383,984,0,"1,000"
M Countdown,07-18-2024,2.,(G)I-DLE,Klaxon,"6,147","3,126",668,"1,189",45,"1,000",119
M Countdown,07-11-2024,1.,Jimin,Smeraldo Garden Marching Band (feat. LOCO),"7,574","5,000",0,574,"1,000",0,"1,000"
M Countdown,07-11-2024,2.,BABYMONSTER,FOREVER,"5,326","2,675",0,"1,500",630,35,486
M Countdown,07-04-2024,1.,Lee Young-Ji,Small girl (ft. D.O.),"6,031","5,000",0,807,26,43,155
M Countdown,07-04-2024,2.,Red Velvet,Cosmic,"5,865","2,607",550,775,231,702,"1,000"
M Countdown,06-27-2024,1.,RIIZE,Boom Boom Bass,"8,839","3,910","1,500","1,156",456,"1,000",817
M Countdown,06-27-2024,2.,Jung Kook,Never Let Go,"7,173","5,000",0,173,"1,000",0,"1,000"
M Countdown,06-20-2024,1.,aespa,Armageddon,"6,291","4,013",71,694,313,200,"1,000"
M Countdown,06-20-2024,2.,NewJeans,How Sweet,"6,027","5,000",76,484,118,0,349
M Countdown,06-13-2024,1.,aespa,Armageddon,"7,512","4,101",995,767,274,375,"1,000"
M Countdown,06-13-2024,2.,NewJeans,How Sweet,"5,857","5,000",20,385,113,50,289
M Countdown,06-06-2024,1.,aespa,Armageddon,"8,634","4,075",955,"1,500",305,799,"1,000"
M Countdown,06-06-2024,2.,NewJeans,How Sweet,"5,948","5,000",59,504,117,0,268
M Countdown,05-30-2024,1.,aespa,Supernova,"7,960","5,000",0,"1,159",245,556,"1,000"
M Countdown,05-30-2024,2.,NewJeans,How Sweet,"4,635","1,997","1,500",636,147,0,355
M Countdown,05-23-2024,1.,aespa,Supernova,"7,214","5,000",0,"1,326",199,377,312
M Countdown,05-23-2024,2.,ZEROBASEONE,Feel The POP,"5,776",558,"1,500",728,"1,000","1,000","1,000"
M Countdown,05-16-2024,1.,SEVENTEEN,MAESTRO,"6,797","2,688","1,500",762,526,321,"1,000"
M Countdown,05-16-2024,2.,Zico,SPOT! (feat. JENNIE),"6,460","5,000",0,975,63,286,136
M Countdown,05-09-2024,1.,SEVENTEEN,MAESTRO,0,,,,,,
M Countdown,05-02-2024,1.,BABYMONSTER,Sheesh,"8,802","5,000",53,"1,500",983,266,"1,000"
M Countdown,05-02-2024,2.,Zico,SPOT! (feat. JENNIE),"4,260","3,348",0,541,165,,206
M Countdown,04-25-2024,1.,ILLIT,Magnetic,"6,262","5,000",165,675,66,249,107
M Countdown,04-25-2024,2.,BABYMONSTER,Sheesh,"5,689","2,304",58,"1,027","1,000",300,"1,000"
M Countdown,04-18-2024,1.,ILLIT,Magnetic,"6,676","5,000",496,682,37,351,110
M Countdown,04-18-2024,2.,BABYMONSTER,Sheesh,"5,371","1,676",183,"1,188","1,000",324,"1,000"
M Countdown,04-11-2024,1.,TOMORROW X TOGETHER,Deja Vu,"6,402","1,346","1,500",556,"1,000","1,000","1,000"
M Countdown,04-11-2024,2.,ILLIT,Magnetic,"6,114","5,000",79,608,38,323,66
M Countdown,04-04-2024,1.,NCT DREAM,Smoothie,"7,189","1,832","1,500",960,897,"1,000","1,000"
M Countdown,04-04-2024,2.,ILLIT,Magnetic,"6,867","5,000",203,"1,000",98,443,123
M Countdown,03-28-2024,1.,V,FRI(END)S,"7,767","5,000",0,767,"1,000",0,
M Countdown,03-28-2024,2.,THE BOYZ,Nectar,"4,214",881,"1,500","1,015",95,400,
M Countdown,03-21-2024,1.,V,FRI(END)S,"7,950","5,000",0,950,"1,000",0,"1,000"
M Countdown,03-21-2024,2.,Twice,ONE SPARK,"5,169","3,529",338,283,381,234,404
M Countdown,03-14-2024,1.,LE SSERAFIM,EASY,"7,900","5,000",126,"1,007",131,636,"1,000"
M Countdown,03-14-2024,2.,BIBI,Bam Yang Gang,"5,534","4,878",0,291,3,272,90
M Countdown,03-07-2024,1.,LE SSERAFIM,EASY,"8,502","5,000",121,"1,500",97,784,"1,000"
M Countdown,03-07-2024,2.,BIBI,Bam Yang Gang,"5,460","4,768",0,238,2,270,182
M Countdown,02-29-2024,1.,LE SSERAFIM,EASY,"9,428","5,000","1,500","1,500",197,"1,000",231
M Countdown,02-29-2024,2.,Twice,ONE SPARK,"5,020","1,030","1,433",557,"1,000",0,"1,000"
M Countdown,02-22-2024,1.,(G)I-DLE,Super Lady,"7,268","4,466",58,890,282,572,"1,000"
M Countdown,02-22-2024,2.,IU,Love wins all,"6,460","5,000",0,545,122,334,459
M Countdown,02-15-2024,1.,(G)I-DLE,Super Lady,0,,,,,,
M Countdown,02-08-2024,1.,(G)I-DLE,Super Lady,"8,780","3,625","1,500","1,207",448,"1,000","1,000"
M Countdown,02-08-2024,2.,IU,Love wins all,"6,379","5,000",0,708,210,127,334
M Countdown,02-01-2024,1.,IU,Love wins all,"7,443","5,000",0,"1,500",385,167,391
M Countdown,02-01-2024,2.,(G)I-DLE,Wife,"6,305","3,449",0,856,"1,000",0,"1,000"
M Countdown,01-25-2024,1.,NMIXX,DASH,"9,338","3,670","1,500","1,293","1,000",875,"1,000"
