Show,Date,Placement,Artist,Song,Total,Digital (Circle Global Kpop),Physical (Circle Album),SNS (YouTube),Pre-vote,Broadcast,Live Vote (Hidden)
M Countdown,08-03,2.,NewJeans,Super Shy,"5,571","5,000",37,328,30,156,20
M Countdown,07-27,1.,Jung Kook,Seven (feat. Latto),"7,606","4,102",0,919,"1,500",85,"1,000"
M Countdown,07-27,2.,NewJeans,Super Shy,"6,244","5,000",780,176,11,255,22
M Countdown,07-20,1.,Jung Kook,Seven (feat. Latto),"6,068","2,568",0,"1,000","1,500",,"1,000"
M Countdown,07-20,2.,NewJeans,Super Shy,"5,344","5,000",0,210,7,85,42
M Countdown,07-13,1.,NewJeans,Super Shy,"5,848","5,000",,614,56,,178
M Countdown,07-13,2.,SHINee,HARD,"4,421","1,027","1,362",53,179,800,"1,000"
M Countdown,07-06,1.,BTS,Take Two,"7,671","5,000",0,0,"1,500",171,"1,000"
M Countdown,07-06,2.,SHINee,HARD,"6,146","1,789","1,500","1,000",338,914,605
M Countdown,06-29,1.,BTS,Take Two,"7,750","5,000",0,0,"1,500",250,"1,000"
M Countdown,06-29,2.,STRAY KIDS,S-Class,"7,448","3,771","1,084",668,598,469,858
M Countdown,06-22,1.,BTS,Take Two,"7,500","5,000",0,0,"1,500",0,"1,000"
M Countdown,06-22,2.,STRAY KIDS,S-Class,"5,216","2,684",258,407,487,"1,000",380
M Countdown,06-15,1.,STRAY KIDS,S-Class,0,,,,,,
M Countdown,06-08,1.,STRAY KIDS,S-Class,"6,720","1,622","1,500","1,000","1,500",98,"1,000"
M Countdown,06-08,2.,(G)I-DLE,Queencard,"6,705","5,000",10,578,73,"1,000",44
M Countdown,06-01,1.,ENHYPEN,Bite Me,"8,813","2,948","1,500",865,"1,500","1,000","1,000"
M Countdown,06-01,2.,(G)I-DLE,Queencard,"7,139","5,000",62,"1,000",102,894,81
M Countdown,05-25,1.,(G)I-DLE,Queencard,"9,207",,,,,,
M Countdown,05-18,1.,aespa,Spicy,"8,207",,,,,,
M Countdown,05-18,2.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"6,448",,,,,,
M Countdown,05-11,1.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"8,575",,,,,,
M Countdown,05-04,1.,SEVENTEEN,Super,"9,603",,,,,,
M Countdown,04-27,1.,IVE,I Am,"7,139",,,,,,
M Countdown,04-20,1.,IVE,I Am,"8,941",,,,,,
M Countdown,04-13,1.,Jisoo,Flower,"8,890",,,,,,
M Countdown,04-06,1.,Jimin,Like Crazy,0,,,,,,
M Countdown,03-30,1.,Jimin,Like Crazy,"9,855",,,,,,
M Countdown,03-23,1.,Jimin,Set Me Free (Pt.2),"8,414",,,,,,
M Countdown,03-16,1.,J-Hope,On the Street,"7,767",,,,,,
M Countdown,03-09,1.,J-Hope,On the Street,"8,500",,,,,,
M Countdown,03-02,1.,BSS,Fighting,"8,265",,,,,,
M Countdown,02-23,1.,BSS,Fighting,"8,894",,,,,,
M Countdown,02-16,1.,BSS,Fighting,"10,669",,,,,,
M Countdown,02-09,1.,TOMORROW X TOGETHER,Sugar Rush Ride,"9,489",,,,,,
M Countdown,02-02,1.,TOMORROW X TOGETHER,Sugar Rush Ride,"6,870",,,,,,
M Countdown,01-26,1.,NewJeans,OMG,0,,,,,,
M Countdown,01-19,1.,Taeyang,Vibe,"5,737",,,,,,
M Countdown,01-12,1.,NewJeans,OMG,"7,834",,,,,,
