Show,Date,Placement,Artist,Song,Total,Digital (Circle Global Kpop),Physical (Circle Album),SNS (YouTube),Pre-vote,Broadcast,Live Vote (Hidden)
M Countdown,11-16,1.,Jung Kook,Standing Next To You,"8,237","5,000",157,517,"1,500",63,"1,000"
M Countdown,11-16,2.,STRAY KIDS,LA LA LA LA,"6,051","1,216","1,500",879,"1,457",78,921
M Countdown,11-09,1.,Jung Kook,Standing Next To You,"9,622","5,000","1,500",622,"1,500",0,"1,000"
M Countdown,11-09,2.,LE SSERAFIM,Perfect Night,"5,614","4,939",0,621,24,0,30
M Countdown,11-02,1.,SEVENTEEN,God of Music,0,,,,,,
M Countdown,11-02,2.,IVE,Baddie,0,,,,,,
M Countdown,10-26,1.,IVE,Baddie,0,,,,,,
M Countdown,10-19,1.,Jung Kook,3D,"7,874","5,000",,374,"1,500",,"1,000"
M Countdown,10-19,2.,TOMORROW X TOGETHER,Chasing That Feeling,"5,057",738,"1,500","1,000",942,167,710
M Countdown,10-12,1.,Jung Kook,3D,"8,436","5,000",0,936,"1,500",0,"1,000"
M Countdown,10-12,2.,NCT 127,Fact Check,"4,932",573,"1,500",878,"1,258",0,723
M Countdown,10-05,1.,Jung Kook,3D,0,,,,,,
M Countdown,09-28,1.,V,Slow Dancing,0,,,,,,
M Countdown,09-21,1.,V,Slow Dancing,"9,096","5,000","1,132",252,"1,500",212,"1,000"
M Countdown,09-21,2.,AKMU,Love Lee,"3,591","3,377",,80,4,121,9
M Countdown,09-14,1.,V,Slow Dancing,"9,557","4,924","1,500",633,"1,500",0,"1,000"
M Countdown,09-14,2.,AKMU,Love Lee,"5,250","5,000",0,85,2,154,9
M Countdown,09-07,1.,V,Love Me Again,"7,618","5,000",,118,"1,500",,"1,000"
M Countdown,09-07,2.,NCT U,Baggy Jeans,"5,880","2,104","1,500","1,000",155,"1,000",121
M Countdown,08-31,1.,V,Love Me Again,"7,751","5,000",,207,"1,500",44,"1,000"
M Countdown,08-31,2.,SOMI,Fast Forward,"4,571","3,688",8,185,5,667,18
M Countdown,08-24,1.,V,Love Me Again,"7,864","5,000",,318,"1,500",46,"1,000"
M Countdown,08-24,2.,STAYC,Bubble,"3,501",989,936,859,15,682,20
M Countdown,08-17,1.,NewJeans,ETA,0,,,,,,
M Countdown,08-17,2.,V,Love Me Again,0,,,,,,
M Countdown,08-10,1.,NewJeans,ETA,"6,136","5,000",140,229,29,314,424
M Countdown,08-10,2.,ITZY,CAKE,"5,660","1,384","1,500",827,92,857,"1,000"
M Countdown,08-03,1.,Jung Kook,Seven (feat. Latto),"7,737","4,049",0,"1,000","1,500",188,"1,000"
