Show,Date,Placement,Artist,Song,Total,Album Sales,SNS (YouTube),Pre-Vote,On-Air,Live Vote,Digital
Inkigayo,12-10-2023,1.,Taeyeon,To. X,"5,675",66,106,85,400,490,"4,528"
Inkigayo,12-10-2023,2.,aespa,Drama,"5,519",2,180,79,0,500,"4,758"
Inkigayo,12-10-2023,3.,JENNIE,You & Me,"3,838",0,247,78,0,17,"3,496"
Inkigayo,12-03-2023,1.,IVE,Baddie,"5,731",,,,,,
Inkigayo,11-26-2023,1.,aespa,Drama,"6,719",66,"3,000",47,0,500,"3,106"
Inkigayo,11-26-2023,2.,IVE,Baddie,"5,894",2,250,41,0,438,"5,163"
Inkigayo,11-26-2023,3.,JENNIE,You & Me,"4,575",0,770,19,0,13,"3,773"
Inkigayo,11-19-2023,1.,IVE,Baddie,"6,089",6,231,39,0,500,"5,313"
Inkigayo,11-19-2023,2.,AKMU,Fry's Dream,"4,702",0,64,20,286,39,"4,293"
Inkigayo,11-19-2023,3.,JENNIE,You & Me,"4,685",0,743,16,0,21,"3,905"
Inkigayo,11-12-2023,1.,IVE,Baddie,"6,292",2,354,39,0,466,"5,431"
Inkigayo,11-12-2023,2.,JENNIE,You & Me,"6,131",0,"1,229",20,0,500,"4,382"
Inkigayo,11-12-2023,3.,AKMU,Fry's Dream,"5,088",0,112,19,215,9,"4,733"
Inkigayo,11-05-2023,1.,SEVENTEEN,God of Music,"8,290","1,000","3,000",324,500,500,"2,966"
Inkigayo,11-05-2023,2.,AKMU,Fry's Dream,"5,447",0,55,20,250,4,"5,118"
Inkigayo,11-05-2023,3.,JENNIE,You & Me,"5,403",0,634,21,0,16,"4,732"
Inkigayo,10-29-2023,1.,IVE,Either Way,"6,433","1,000",122,0,0,500,"4,811"
Inkigayo,10-29-2023,2.,JENNIE,You & Me,"5,709",0,973,46,0,130,"4,560"
Inkigayo,10-29-2023,3.,AKMU,Fry's Dream,"5,315",0,73,0,0,5,"5,237"
Inkigayo,10-22-2023,1.,AKMU,Love Lee,"6,278",0,311,27,500,29,"5,411"
Inkigayo,10-22-2023,2.,JENNIE,You & Me,"6,267",0,"1,800",41,215,500,"3,711"
Inkigayo,10-22-2023,3.,AKMU,Fry's Dream,"5,176",0,103,0,286,1,"4,786"
Inkigayo,10-15-2023,1.,AKMU,Love Lee,"6,330",0,527,45,250,8,"5,500"
