Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,07-26-2025,1.,NCT DREAM,BTTF,"6,792","3,293","1,000",197,302,500,500,500,500
Show! Music Core,07-26-2025,2.,BLACKPINK,JUMP,"6,761","5,000",0,"1,000",300,80,350,9,22
Show! Music Core,07-26-2025,3.,ALLDAY Project,FAMOUS,"5,420","4,843",14,50,188,119,200,5,1
Show! Music Core,07-19-2025,1.,ALLDAY Project,FAMOUS,"6,365","5,000",10,50,200,233,350,386,136
Show! Music Core,07-19-2025,2.,aespa,Dirty Work,"6,308","4,127",6,160,148,417,450,500,500
Show! Music Core,07-19-2025,3.,BLACKPINK,JUMP,"3,683","2,177",0,"1,000",50,169,200,81,6
Show! Music Core,07-12-2025,1.,aespa,Dirty Work,"7,474","4,336",394,283,495,466,500,500,500
Show! Music Core,07-12-2025,2.,ALLDAY Project,FAMOUS,"6,409","5,000",162,88,300,256,300,223,80
Show! Music Core,07-12-2025,3.,fromis_9,LIKE YOU BETTER,"3,102","1,825",52,118,495,240,280,76,16
Show! Music Core,06-28-2025,1.,Kang Daniel,Episode,"5,954","3,189",173,907,149,86,450,500,500
Show! Music Core,06-28-2025,2.,IU,Never Ending Story,"5,929","5,000",1,30,75,160,400,144,119
Show! Music Core,06-28-2025,3.,ILLIT,Do the Dance,"5,665","2,365","1,000","1,000",225,362,300,233,180
Show! Music Core,06-21-2025,1.,Doyoung,Memory,"8,246","5,000",681,15,600,500,450,500,500
Show! Music Core,06-21-2025,2.,IU,Never Ending Story,"4,819","4,206",5,20,180,118,280,5,5
Show! Music Core,06-21-2025,3.,SEVENTEEN,THUNDER,"3,388","2,182",116,96,178,330,400,73,13
Show! Music Core,06-14-2025,1.,SEVENTEEN,THUNDER,"6,901","4,418",1,216,366,450,450,500,500
Show! Music Core,06-14-2025,2.,IU,Never Ending Story,"6,058","5,000",3,63,298,213,400,74,7
Show! Music Core,06-14-2025,3.,ENHYPEN,Bad Desire (With or Without You),"5,245","1,702","1,000","1,000",75,228,500,241,499
Show! Music Core,06-07-2025,1.,SEVENTEEN,THUNDER,"9,655","5,000","1,000","1,000",660,495,500,500,500
Show! Music Core,06-07-2025,2.,IU,Never Ending Story,"2,970","2,177",43,78,300,146,180,44,2
Show! Music Core,06-07-2025,3.,RIIZE,Fly Up,"2,400",767,7,407,225,500,300,139,55
Show! Music Core,05-31-2025,1.,RIIZE,Fly Up,"9,319","5,000","1,000",711,608,500,500,500,500
Show! Music Core,05-31-2025,2.,i-dle,Good Thing,"4,341","1,970",485,"1,000",360,78,400,12,36
Show! Music Core,05-31-2025,3.,MEOVV,HANDS UP,"4,268","3,685",11,101,201,84,180,4,2
Show! Music Core,05-24-2025,1.,BOYNEXTDOOR,I Feel Good,"8,124","3,525","1,000","1,000",800,299,500,500,500
Show! Music Core,05-24-2025,2.,MEOVV,HANDS UP,"5,169","4,383",167,306,103,108,80,17,5
Show! Music Core,05-24-2025,3.,Woody,Sadder Than Yesterday,"5,032","5,000",0,8,1,22,0,1,0
Show! Music Core,05-17-2025,1.,DAY6,Maybe Tomorrow,"6,763",,,,,,,,
Show! Music Core,05-17-2025,2.,G-DRAGON & V.A.,GOOD DAY 2025,"5,696",,,,,,,,
Show! Music Core,05-17-2025,3.,Woody,Sadder Than Yesterday,"5,052",,,,,,,,
Show! Music Core,05-10-2025,1.,LE SSERAFIM,HOT,"6,546","5,000",2,126,214,138,350,216,500
Show! Music Core,05-10-2025,2.,G-DRAGON & V.A.,GOOD DAY 2025,"5,541","4,726",0,5,0,29,0,2,0
Show! Music Core,05-10-2025,3.,OVAN,Flower,"4,762","3,740",0,36,129,157,500,500,479
Show! Music Core,05-03-2025,1.,TWS,Countdown!,"6,448","1,532","1,000","1,000","1,000",466,450,500,500
Show! Music Core,05-03-2025,2.,JENNIE,like JENNIE,"5,492","5,000",0,0,0,157,260,25,50
Show! Music Core,05-03-2025,3.,LE SSERAFIM,HOT,"4,017","3,431",0,176,87,147,160,11,5
Show! Music Core,04-26-2025,1.,NCT WISH,poppop,"6,293","2,027","1,000",467,799,500,500,500,500
Show! Music Core,04-26-2025,2.,JENNIE,like JENNIE,"5,584","5,000",0,0,0,136,300,7,141
Show! Music Core,04-26-2025,3.,LE SSERAFIM,HOT,"4,400","3,418",3,462,177,111,200,15,14
Show! Music Core,04-19-2025,1.,MARK,1999,"7,159","3,843","1,000",72,244,500,500,500,500
Show! Music Core,04-19-2025,2.,JENNIE,like JENNIE,"5,485","5,000",3,0,75,121,260,17,9
Show! Music Core,04-19-2025,3.,LE SSERAFIM,HOT,"4,262","3,604",4,170,76,116,280,9,2
Show! Music Core,04-12-2025,1.,JENNIE,like JENNIE,"6,095","5,000",176,0,0,183,300,182,254
Show! Music Core,04-12-2025,2.,LE SSERAFIM,HOT,"5,504","3,351",76,154,240,183,500,500,500
Show! Music Core,04-12-2025,3.,KiiiKiii,I DO ME,"4,705","3,062",3,10,800,223,160,425,22
Show! Music Core,04-05-2025,1.,KiiiKiii,I DO ME,"5,936","3,088","1,000",34,800,272,220,500,22
Show! Music Core,04-05-2025,2.,JENNIE,like JENNIE,"5,650","5,000",26,0,0,204,180,92,148
