Show,Date,Placement,Artist,Song,Total,Digital (Circle Global Kpop),Physical (Circle Album),SNS (YouTube),Pre-vote,Broadcast,Live Vote (Hidden)
M Countdown,12-29-2022,1.,NCT DREAM,Candy,"6,323",,,,,,
M Countdown,11-10-2022,1.,Jin,The Astronaut,0,,,,,,
M Countdown,10-27-2022,1.,(G)I-DLE,Nxde,0,,,,,,
M Countdown,10-20-2022,1.,STRAY KIDS,Case 143,"10,756","5,000","1,500",756,"1,500","1,000","1,000"
M Countdown,10-20-2022,2.,TREASURE,Hello,"5,466","2,179",17,"1,000","1,409",353,508
M Countdown,10-13-2022,1.,STRAY KIDS,Case 143,"7,658",,,,,,
M Countdown,10-06-2022,1.,BLACKPINK,Shut Down,"9,468",,,,,,
M Countdown,09-29-2022,1.,BLACKPINK,Shut Down,"8,377",,,,,,
M Countdown,09-22-2022,1.,BLACKPINK,Shut Down,"9,316",,,,,,
M Countdown,09-15-2022,1.,IVE,After LIKE,0,,,,,,
M Countdown,09-08-2022,1.,BLACKPINK,Pink Venom,"9,033",,,,,,
M Countdown,09-01-2022,1.,BLACKPINK,Pink Venom,"9,071",,,,,,
M Countdown,08-25-2022,1.,BLACKPINK,Pink Venom,"7,951",,,,,,
M Countdown,08-18-2022,1.,NewJeans,Attention,0,,,,,,
M Countdown,08-11-2022,1.,ITZY,SNEAKERS,"7,944",,,,,,
M Countdown,08-04-2022,1.,SEVENTEEN,_WORLD,"6,746",,,,,,
M Countdown,07-28-2022,1.,SEVENTEEN,_WORLD,"10,633",,,,,,
M Countdown,07-21-2022,1.,aespa,Girls,"7,741",,,,,,
M Countdown,07-14-2022,1.,Nayeon,POP!,"7,266",,,,,,
M Countdown,07-07-2022,1.,fromis_9,Stay That Way,"9,262",,,,,,
M Countdown,06-30-2022,1.,BTS,Yet to Come,"9,037",,,,,,
M Countdown,06-23-2022,1.,BTS,Yet to Come,"11,000",,,,,,
M Countdown,06-16-2022,1.,BTS,Yet to Come,"10,333",,,,,,
M Countdown,06-09-2022,1.,NCT DREAM,Beatbox,0,,,,,,
M Countdown,06-02-2022,1.,SEVENTEEN,Hot,"7,718",,,,,,
M Countdown,05-26-2022,1.,ASTRO,Candy Sugar Pop,"8,434",,,,,,
M Countdown,05-19-2022,1.,PSY,That That,0,,,,,,
M Countdown,05-12-2022,1.,Lim Young-woong,If We Ever Meet Again,"8,896",,,,,,
M Countdown,05-05-2022,1.,IVE,LOVE DIVE,"7,520",,,,,,
M Countdown,04-28-2022,1.,BIGBANG,Still Life,"8,256",,,,,,
M Countdown,04-21-2022,1.,BIGBANG,Still Life,"8,216",,,,,,
M Countdown,04-14-2022,1.,BIGBANG,Still Life,"8,181",,,,,,
M Countdown,04-07-2022,1.,NCT DREAM,Glitch Mode,"7,536",,,,,,
M Countdown,03-31-2022,1.,(G)I-DLE,TOMBOY,"7,688",,,,,,
M Countdown,03-24-2022,1.,(G)I-DLE,TOMBOY,"8,259",,,,,,
M Countdown,03-17-2022,1.,STAYC,RUN2U,"6,569",,,,,,
M Countdown,03-10-2022,1.,STAYC,RUN2U,0,,,,,,
M Countdown,03-03-2022,1.,BtoB,The Song,"8,976",,,,,,
M Countdown,02-24-2022,1.,Taeyeon,INVU,"9,676",,,,,,
M Countdown,02-17-2022,1.,VIVIZ,BOP BOP!,"6,564",,,,,,
M Countdown,02-10-2022,1.,YENA,Smiley,"8,097",,,,,,
M Countdown,02-03-2022,1.,GOT the beat,Step Back,0,,,,,,
M Countdown,01-27-2022,1.,Whee in,Make Me happy,"7,220",,,,,,
M Countdown,01-20-2022,1.,Kep1er,WA DA DA,"6,569",,,,,,
M Countdown,01-13-2022,1.,Kep1er,WA DA DA,"6,500",,,,,,
