Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,11-11-2023,2.0,Jung Kook,Standing Next To You,"5,884","3,049","1,000",622,0,77.0,450.0,311.0,375.0
Show! Music Core,11-11-2023,3.0,IVE,Baddie,"5,815","5,000",2,73,120,220.0,300.0,57.0,43.0
Show! Music Core,11-04-2023,1.0,SEVENTEEN,God of Music,"9,096","5,000","1,000","1,000",214,432.0,450.0,500.0,500.0
Show! Music Core,11-04-2023,2.0,IVE,Baddie,"4,123","2,871",1,60,129,293.0,350.0,295.0,124.0
Show! Music Core,11-04-2023,3.0,JENNIE,You & Me,"3,340","2,714",0,211,86,101.0,200.0,17.0,11.0
Show! Music Core,10-28-2023,1.0,Lim Young-woong,Do or Die,"6,798","5,000",0,31,129,138.0,500.0,500.0,500.0
Show! Music Core,10-28-2023,2.0,IVE,Baddie,"6,027","3,973","1,000",105,129,334.0,400.0,50.0,36.0
Show! Music Core,10-28-2023,3.0,JENNIE,You & Me,"5,982","4,848",0,324,129,163.0,450.0,9.0,59.0
Show! Music Core,10-21-2023,1.0,Lim Young-woong,Do or Die,"7,246","5,000",0,118,511,117.0,500.0,500.0,500.0
Show! Music Core,10-21-2023,2.0,AKMU,Love Lee,"3,519","2,905",0,104,300,208.0,0.0,2.0,0.0
Show! Music Core,10-21-2023,3.0,JENNIE,You & Me,"3,482","2,404",0,600,150,100.0,220.0,6.0,2.0
Show! Music Core,10-14-2023,1.0,NCT 127,Fact Check,"8,804","5,000","1,000",878,,426.0,500.0,500.0,500.0
Show! Music Core,10-14-2023,2.0,AKMU,Love Lee,"4,913","3,897",,175,300,237.0,300.0,3.0,1.0
Show! Music Core,10-14-2023,3.0,Jung Kook,3D,"4,125","2,501",,935,,124.0,450.0,93.0,22.0
Show! Music Core,09-23-2023,1.0,AKMU,Love Lee,"5,637","5,000",0,116,393,98.0,20.0,5.0,5.0
Show! Music Core,09-23-2023,2.0,KEY,Good & Great,"4,893","1,430",294,434,735,500.0,500.0,500.0,500.0
Show! Music Core,09-23-2023,3.0,SOMI,Fast Forward,"3,330","3,152",7,92,14,2.0,60.0,2.0,1.0
Show! Music Core,09-16-2023,1.0,AKMU,Love Lee,"6,315","5,000",,85,262,251.0,220.0,182.0,315.0
Show! Music Core,09-16-2023,2.0,NewJeans,ETA,"5,652","4,035",8,109,37,113.0,350.0,500.0,500.0
Show! Music Core,09-16-2023,3.0,SOMI,Fast Forward,"3,978","3,366",,121,75,137.0,100.0,167.0,12.0
Show! Music Core,09-09-2023,1.0,Jung Kook,Seven (feat. Latto),"7,026","5,000",0,404,66,106.0,450.0,500.0,500.0
Show! Music Core,09-09-2023,2.0,NewJeans,ETA,"5,347","4,971",4,81,166,39.0,60.0,22.0,4.0
Show! Music Core,09-09-2023,3.0,AKMU,Love Lee,"4,543","3,846",0,43,300,183.0,160.0,9.0,2.0
Show! Music Core,09-02-2023,1.0,Jung Kook,Seven (feat. Latto),"6,671","4,563",,559,,99.0,450.0,500.0,500.0
Show! Music Core,09-02-2023,2.0,NewJeans,Super Shy,"5,653","5,000",64,281,60,111.0,100.0,32.0,5.0
Show! Music Core,09-02-2023,3.0,SOMI,Fast Forward,"3,432","3,026",5,189,90,62.0,40.0,18.0,2.0
Show! Music Core,08-26-2023,1.0,Jung Kook,Seven (feat. Latto),"6,832","4,449",,495,225,163.0,500.0,500.0,500.0
Show! Music Core,08-26-2023,2.0,NewJeans,Super Shy,"5,848","5,000",31,232,150,154.0,220.0,48.0,13.0
Show! Music Core,08-26-2023,3.0,STAYC,Bubble,"3,421","1,120",624,859,225,141.0,260.0,152.0,40.0
Show! Music Core,08-05-2023,1.0,Jung Kook,Seven (feat. Latto),"6,689","3,772",,"1,000",300,117.0,500.0,500.0,500.0
Show! Music Core,08-05-2023,2.0,NewJeans,Super Shy,"5,948","5,000",24,328,92,127.0,300.0,49.0,28.0
