Show,Date,Placement,Artist,Song,Total,Album Sales,SNS (YouTube),Pre-Vote,On-Air,Live Vote,Digital
Inkigayo,12-11-2022,1.,YOUNHA,Event Horizon,"6,164",,,,,,
Inkigayo,12-04-2022,1.,YOUNHA,Event Horizon,"6,319",,,,,,
Inkigayo,11-27-2022,1.,YOUNHA,Event Horizon,"6,482",,,,,,
Inkigayo,11-20-2022,1.,(G)I-DLE,Nxde,"6,624",,,,,,
Inkigayo,11-13-2022,1.,(G)I-DLE,Nxde,"9,164",,,,,,
Inkigayo,11-06-2022,1.,(G)I-DLE,Nxde,"9,409",,,,,,
Inkigayo,11-06-2022,2.,LE SSERAFIM,ANTIFRAGILE,"6,186",,,,,,
Inkigayo,11-06-2022,3.,IVE,After LIKE,"5,007",,,,,,
Inkigayo,10-23-2022,1.,IVE,After LIKE,"7,038",,,,,,
Inkigayo,10-16-2022,1.,BLACKPINK,Shut Down,"7,641",,,,,,
Inkigayo,10-09-2022,1.,BLACKPINK,Shut Down,"8,991",,,,,,
Inkigayo,10-02-2022,1.,BLACKPINK,Shut Down,"9,077",,,,,,
Inkigayo,09-25-2022,1.,BLACKPINK,Pink Venom,"7,129",,,,,,
Inkigayo,09-18-2022,1.,BLACKPINK,Pink Venom,"7,977",,,,,,
Inkigayo,09-04-2022,1.,BLACKPINK,Pink Venom,"9,292",,,,,,
Inkigayo,08-28-2022,1.,NewJeans,Attention,"6,300",,,,,,
Inkigayo,08-21-2022,1.,NewJeans,Attention,"8,273",,,,,,
Inkigayo,08-14-2022,1.,ITZY,SNEAKERS,"7,353",,,,,,
Inkigayo,08-07-2022,1.,Nayeon,POP!,"7,201",,,,,,
Inkigayo,07-31-2022,1.,SEVENTEEN,_WORLD,"7,092",,,,,,
Inkigayo,07-24-2022,1.,Nayeon,POP!,"7,103",,,,,,
Inkigayo,07-24-2022,11.,aespa,Girls,"6,262",,,,,,
Inkigayo,07-24-2022,12.,ITZY,SNEAKERS,"4,656",,,,,,
Inkigayo,07-17-2022,1.,IVE,LOVE DIVE,"5,955",10,302,39,0,184,"5,420"
Inkigayo,07-17-2022,2.,Nayeon,POP!,"5,952",7,703,68,500,500,"4,174"
Inkigayo,07-17-2022,3.,aespa,Girls,"4,415",942,"3,000",0,84,174,215
Inkigayo,07-10-2022,1.,Nayeon,POP!,"6,922",,,,,,
Inkigayo,07-03-2022,1.,IVE,LOVE DIVE,"6,126",,,,,,
Inkigayo,06-26-2022,1.,BTS,Yet to Come,"9,479",,,,,,
Inkigayo,06-19-2022,1.,BTS,Yet to Come,"7,007",,,,,,
Inkigayo,06-12-2022,1.,NCT DREAM,Beatbox,"7,292",,,,,,
Inkigayo,06-05-2022,1.,(G)I-DLE,TOMBOY,"6,314",,,,,,
Inkigayo,05-29-2022,1.,PSY,That That,"7,620",,,,,,
Inkigayo,05-22-2022,1.,PSY,That That,"9,108",,,,,,
Inkigayo,05-15-2022,1.,PSY,That That,"9,402",,,,,,
Inkigayo,05-08-2022,1.,IVE,LOVE DIVE,"6,726",,,,,,
Inkigayo,05-01-2022,1.,BIGBANG,Still Life,"8,681",,,,,,
Inkigayo,04-24-2022,1.,BIGBANG,Still Life,"9,394",,,,,,
Inkigayo,04-17-2022,1.,BIGBANG,Still Life,"8,673",,,,,,
Inkigayo,04-10-2022,1.,NCT DREAM,Glitch Mode,"6,845",,,,,,
Inkigayo,04-03-2022,1.,(G)I-DLE,TOMBOY,"9,648",,,,,,
Inkigayo,03-27-2022,1.,(G)I-DLE,TOMBOY,"8,037",,,,,,
Inkigayo,03-20-2022,1.,Kim Min-seok,Drunken Confession,"5,514",,,,,,
Inkigayo,03-13-2022,1.,Taeyeon,INVU,"7,083",,,,,,
Inkigayo,03-06-2022,1.,Taeyeon,INVU,"6,783",,,,,,
Inkigayo,02-27-2022,1.,Taeyeon,INVU,"7,401",,,,,,
Inkigayo,02-20-2022,1.,GOT the beat,Step Back,"7,224",,,,,,
Inkigayo,01-30-2022,1.,GOT the beat,Step Back,"5,612",,,,,,
Inkigayo,01-23-2022,1.,IVE,ELEVEN,"5,927",,,,,,
Inkigayo,01-16-2022,1.,IVE,ELEVEN,"6,583",,,,,,
Inkigayo,01-09-2022,1.,IVE,ELEVEN,"8,533",,,,,,
