genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,girl_group
Pop,BTS,I Need U,7dlNGfd6Fq8xcFb4K6Glws,71,0.0184,0.475,210577,0.897,0.0,F,0.296,-2.383,Minor,0.0736,78.918,4/4,0.642,False
Pop,BTS,Go Go,5nq1uTNIR1cBR72T87viS0,70,0.171,0.856,235780,0.617,0.0,A#,0.0857,-5.308,Minor,0.0841,136.082,4/4,0.759,False
Pop,BTS,Trivia 起 : Just Dance,0usLRFLmYXYahKNgXxsuJc,70,0.0907,0.723,225221,0.906,0.0,C#,0.0771,-4.778,Minor,0.279,125.019,4/4,0.398,False
Pop,BTS,Don't Leave Me,3zIG0WuI5RoJsFYnErkFDU,70,0.116,0.62,227413,0.778,0.0,G#,0.312,-4.622,Minor,0.0724,147.012,4/4,0.386,False
Pop,BTS,Trivia 承 : Love,6aHCXTCkPiB4zgXKpB7BHS,69,0.246,0.761,225698,0.761,0.0,F,0.103,-5.721,Minor,0.0897,121.972,4/4,0.483,False
Pop,(G)I-DLE,HANN (Alone),7gr57cYekMWriyJYbT7oZ4,72,0.059,0.709,205820,0.718,0.0,F#,0.167,-3.315,Minor,0.0312,104.971,4/4,0.24,True
Pop,SEVENTEEN,Home,5TyCTVsBsHeeutZcU2uP5s,72,0.427,0.741,203732,0.547,0.0,A,0.0931,-5.029,Major,0.253,87.977,4/4,0.615,False
Pop,BLACKPINK,WHISTLE,7HWmJ1wBecOAMNGjC6SmKE,73,0.00682,0.822,211696,0.712,0.0,B,0.0955,-4.877,Major,0.15,102.874,4/4,0.647,True
Pop,BTS,Pied Piper,0ffweDHrg4bZqdG4IfGYuo,69,0.2,0.583,245621,0.712,0.0,D,0.268,-4.942,Minor,0.0326,94.051,4/4,0.776,False
Pop,BTS,Paradise,01dmH2IPkrLNWIMPNXlreE,68,0.214,0.519,211224,0.828,0.0,F,0.0571,-5.523,Major,0.365,139.413,4/4,0.929,False
Pop,BTS,Dope,4TiKZrN7gtc62SUiufpFCM,70,0.0272,0.579,240021,0.896,1.02e-06,A#,0.352,-2.781,Minor,0.224,153.991,4/4,0.678,False
Pop,BTS,So What,4CvId64YZSB0RfRdfzPIQU,70,0.0238,0.656,281521,0.883,0.0,A,0.0481,-4.294,Minor,0.0737,129.947,4/4,0.46,False
Pop,SEVENTEEN,Good to Me,2ujZatFh8uZMkiBTu2z7AH,71,0.145,0.647,189714,0.832,0.0,B,0.0465,-3.969,Minor,0.0683,140.05,4/4,0.82,False
Pop,BTS,Intro: Singularity,6ePyl2ns4b7MVYhjsj32ZK,68,0.554,0.775,196998,0.271,0.00285,C#,0.112,-9.131,Minor,0.092,104.001,3/4,0.204,False
Pop,SEVENTEEN,Don't Wanna Cry,6Upu6yjkdi0DVI8E3IBZEU,70,0.164,0.781,203427,0.683,1.53e-06,C,0.16,-4.258,Major,0.0325,100.005,4/4,0.722,False
Pop,BTS,Magic Shop,2tMBCYj22KxtmkAACIvvk4,70,0.103,0.541,275696,0.661,0.0,C#,0.0779,-5.838,Major,0.0889,149.926,4/4,0.285,False
Pop,BTS,BTS Cypher 4,1QWxddJmOhQb1vDdyTipMR,68,0.00533,0.817,294463,0.797,7.77e-06,C#,0.0551,-4.395,Minor,0.084,119.977,4/4,0.362,False
Pop,BTS,Butterfly,6kX452oUUNojKWNNuc1nqx,68,0.0149,0.448,238862,0.776,0.0,F#,0.12,-4.498,Major,0.0571,149.806,4/4,0.294,False
Pop,BTS,Run,3SESmwaRfVQddNhwCSKQur,69,0.00165,0.577,236334,0.875,0.0,F#,0.0892,-2.944,Minor,0.0445,132.943,4/4,0.522,False
Pop,BTS,Silver Spoon,2VgPA0WnwvE2nbltxa3BHz,68,0.00128,0.649,233185,0.875,0.0,A,0.0486,-2.88,Major,0.0696,166.927,4/4,0.557,False
Pop,BTS,Tear,6L1rxT6NUotot2AAiLXGLj,69,0.327,0.711,284981,0.903,0.0,F#,0.0887,-2.723,Minor,0.247,140.015,4/4,0.467,False
Pop,TOMORROW X TOGETHER,Nap of a star,6JxNli46YwzPdPiHnEQUeC,69,0.407,0.626,243013,0.451,1.12e-06,G,0.104,-9.062,Major,0.0259,140.033,4/4,0.355,False
Pop,BTS,Danger,6njl4FfPUwVmoIR1RKLq05,68,0.000907,0.738,245140,0.868,0.000215,C#,0.275,-3.363,Major,0.0703,111.992,4/4,0.378,False
Pop,BTS,House of Cards (Full Length Edition),4BMbbfwW9GLl9b05ecYKVa,67,0.334,0.367,226212,0.67,0.0,D,0.147,-4.485,Minor,0.0517,104.96,4/4,0.386,False
Pop,Red Velvet,Power Up,381g0b6QZxC13SzA2HRMIc,71,0.0774,0.732,202040,0.934,0.00745,G#,0.306,-4.618,Major,0.144,159.998,4/4,0.898,True
Pop,BTS,Best Of Me,3KGEbCfnzAzFVimY9p62MN,69,0.0298,0.651,227191,0.756,0.0,G#,0.396,-4.388,Major,0.0762,121.96,4/4,0.473,False
Pop,BTS,Let Go,1OqDvYVDhJyFZny7XlfIyZ,68,0.17,0.558,299707,0.863,0.0,E,0.289,-3.53,Major,0.178,173.908,4/4,0.388,False
Pop,BTS,134340,38td8VabuKlQt72Q2VnhbO,66,0.153,0.664,230063,0.688,9.14e-05,B,0.173,-6.466,Minor,0.0543,106.022,4/4,0.65,False
Pop,BTS,21st Century Girl,6RioKpKPuG1vuyU0wnlAZx,67,0.00423,0.716,192597,0.906,0.0,D,0.0547,-3.539,Major,0.0717,101.028,4/4,0.762,False
Pop,BTS,Intro: Serendipity,7iV733e1KacKrFRaBNxVEf,66,0.523,0.476,139972,0.581,0.0,G#,0.201,-8.795,Major,0.12,129.568,4/4,0.282,False
Pop,Red Velvet,빨간 맛 Red Flavor,7nKQ5WAcjnG48knyLuo8gO,69,0.0409,0.709,191139,0.917,0.0,A,0.0839,-3.315,Major,0.189,125.042,4/4,0.515,True
Pop,BTS,Outro: Tear,5p10VwQ8LRoyTc8LFrvPw6,66,0.327,0.711,284981,0.903,0.0,F#,0.0887,-2.723,Minor,0.247,140.015,4/4,0.467,False
