,Episode,Date,Artist,Song,Points,Award Show,Search Query,Song ID
16,"1,138","May 22, 2022",Psy,That That,"9,108",Inkigayo,track:That That artist:Psy year:2000-2022,7GNRUsU3M4XNDDB9xle5Dz
17,"1,139","May 29, 2022",Psy,That That,"7,620",Inkigayo,track:That That artist:Psy year:2000-2022,7GNRUsU3M4XNDDB9xle5Dz
18,"1,140","June 5, 2022",(G)I-dle,Tomboy,"6,314",Inkigayo,track:Tomboy artist:(G)I-dle year:2000-2022,6WYsZJDfUOftGVji74yYSU
19,"1,141","June 12, 2022",NCT Dream,Beatbox,"7,292",Inkigayo,track:Beatbox artist:NCT Dream year:2000-2022,0CatzXH85XWyBqqdB6qPMB
20,"1,142","June 19, 2022",BTS,Yet to Come,"7,007",Inkigayo,track:Yet to Come artist:BTS year:2000-2022,10SRMwb9EuVS1K9rYsBfHQ
21,"1,143","June 26, 2022",BTS,Yet to Come,"9,479",Inkigayo,track:Yet to Come artist:BTS year:2000-2022,10SRMwb9EuVS1K9rYsBfHQ
22,"1,144","July 3, 2022",Ive,Love Dive,"6,126",Inkigayo,track:Love Dive artist:Ive year:2000-2022,0Q5VnK2DYzRyfqQRJuUtvi
23,"1,145","July 10, 2022",Nayeon,Pop!,"6,922",Inkigayo,track:Pop! artist:Nayeon year:2000-2022,3qnOJbyOsX43KmlGYytEFL
24,"1,146","July 17, 2022",Ive,Love Dive,"5,955",Inkigayo,track:Love Dive artist:Ive year:2000-2022,0Q5VnK2DYzRyfqQRJuUtvi
25,"1,147","July 24, 2022",Nayeon,Pop!,"7,103",Inkigayo,track:Pop! artist:Nayeon year:2000-2022,3qnOJbyOsX43KmlGYytEFL
26,"1,148","July 31, 2022",Seventeen,_World,"7,092",Inkigayo,track:_World artist:Seventeen year:2000-2022,3QwiidVHfeE9y5jl4n2MTC
27,"1,149","August 7, 2022",Nayeon,Pop!,"7,201",Inkigayo,track:Pop! artist:Nayeon year:2000-2022,3qnOJbyOsX43KmlGYytEFL
28,"1,150","August 14, 2022",Itzy,Sneakers,"7,353",Inkigayo,track:Sneakers artist:Itzy year:2000-2022,5RoqWTV72C8GZhHmQqBh7O
29,"1,151","August 21, 2022",NewJeans,Attention,"8,273",Inkigayo,track:Attention artist:NewJeans year:2000-2022,2pIUpMhHL6L9Z5lnKxJJr9
30,"1,152","August 28, 2022",NewJeans,Attention,"6,300",Inkigayo,track:Attention artist:NewJeans year:2000-2022,2pIUpMhHL6L9Z5lnKxJJr9
31,"1,153","September 4, 2022",Blackpink,Pink Venom,"9,292",Inkigayo,track:Pink Venom artist:Blackpink year:2000-2022,5P3o95Jf0YBQRQ4j2XPpfC
32,"1,154","September 18, 2022",Blackpink,Pink Venom,"7,977",Inkigayo,track:Pink Venom artist:Blackpink year:2000-2022,5P3o95Jf0YBQRQ4j2XPpfC
33,"1,155","September 25, 2022",Blackpink,Pink Venom,"7,129",Inkigayo,track:Pink Venom artist:Blackpink year:2000-2022,5P3o95Jf0YBQRQ4j2XPpfC
34,"1,156","October 2, 2022",Blackpink,Shut Down,"9,077",Inkigayo,track:Shut Down artist:Blackpink year:2000-2022,6tCd8bPvYnceDG7W9M1RMk
35,"1,157","October 9, 2022",Blackpink,Shut Down,"8,991",Inkigayo,track:Shut Down artist:Blackpink year:2000-2022,6tCd8bPvYnceDG7W9M1RMk
36,"1,158","October 16, 2022",Blackpink,Shut Down,"7,641",Inkigayo,track:Shut Down artist:Blackpink year:2000-2022,6tCd8bPvYnceDG7W9M1RMk
37,"1,159","October 23, 2022",Ive,After Like,"7,038",Inkigayo,track:After Like artist:Ive year:2000-2022,6CV6j2xz54thzlrWML3kAW
38,"1,160","November 6, 2022",(G)I-dle,Nxde,"9,409",Inkigayo,track:Nxde artist:(G)I-dle year:2000-2022,7Ejqkb9YfldcLoh8B6bXgj
39,"1,161","November 13, 2022",(G)I-dle,Nxde,"9,164",Inkigayo,track:Nxde artist:(G)I-dle year:2000-2022,7Ejqkb9YfldcLoh8B6bXgj
40,"1,162","November 20, 2022",(G)I-dle,Nxde,"6,624",Inkigayo,track:Nxde artist:(G)I-dle year:2000-2022,7Ejqkb9YfldcLoh8B6bXgj
41,"1,163","November 27, 2022",Younha,Event Horizon,"6,482",Inkigayo,track:Event Horizon artist:Younha year:2000-2022,6RBziRcDeiho3iTPdtEeg9
42,"1,164","December 4, 2022",Younha,Event Horizon,"6,319",Inkigayo,track:Event Horizon artist:Younha year:2000-2022,6RBziRcDeiho3iTPdtEeg9
43,"1,165","December 11, 2022",Younha,Event Horizon,"6,164",Inkigayo,track:Event Horizon artist:Younha year:2000-2022,6RBziRcDeiho3iTPdtEeg9
44,"1,166","January 8, 2023",NewJeans,Ditto,"6,719",Inkigayo,track:Ditto artist:NewJeans year:2000-2023,3r8RuvgbX9s7ammBn07D3W
45,"1,167","January 15, 2023",NewJeans,OMG,"8,795",Inkigayo,track:OMG artist:NewJeans year:2000-2023,65FftemJ1DbbZ45DUfHJXE
46,"1,168","January 29, 2023",NewJeans,Ditto,"7,119",Inkigayo,track:Ditto artist:NewJeans year:2000-2023,3r8RuvgbX9s7ammBn07D3W
47,"1,169","February 5, 2023",NewJeans,Ditto,"6,006",Inkigayo,track:Ditto artist:NewJeans year:2000-2023,3r8RuvgbX9s7ammBn07D3W
48,"1,170","February 12, 2023",Tomorrow X Together,Sugar Rush Ride,"7,233",Inkigayo,track:Sugar Rush Ride artist:Tomorrow X Together year:2000-2023,0rhI6gvOeCKA502RdJAbfs
49,"1,171","February 19, 2023",BSS,Fighting,"8,165",Inkigayo,track:Fighting artist:BSS year:2000-2023,7eBpUuPnDTfbeP1P4P93CS
50,"1,172","February 26, 2023",STAYC,Teddy Bear,"5,774",Inkigayo,track:Teddy Bear artist:STAYC year:2000-2023,4kSDi21MeOoSvpZs6MveI9
51,"1,173","March 5, 2023",The Boyz,Roar,"6,463",Inkigayo,track:Roar artist:The Boyz year:2000-2023,7yP9oxhtOozkCptLHJoq3l
52,"1,174","March 19, 2023",NewJeans,OMG,"5,781",Inkigayo,track:OMG artist:NewJeans year:2000-2023,65FftemJ1DbbZ45DUfHJXE
53,"1,175","March 26, 2023",NewJeans,OMG,"6,309",Inkigayo,track:OMG artist:NewJeans year:2000-2023,65FftemJ1DbbZ45DUfHJXE
54,"1,176","April 2, 2023",NewJeans,Hype Boy,"5,932",Inkigayo,track:Hype Boy artist:NewJeans year:2000-2023,0a4MMyCrzT0En247IhqZbD
55,"1,177","April 9, 2023",Ive,Kitsch,"8,273",Inkigayo,track:Kitsch artist:Ive year:2000-2023,5kRMDu7nOelODru9ZmwbLl
56,"1,178","April 16, 2023",Jisoo,Flower,"8,714",Inkigayo,track:Flower artist:Jisoo year:2000-2023,0bC7GKnxh9W9JIvJ6HVWxc
57,"1,180","April 30, 2023",Jisoo,Flower,"7,902",Inkigayo,track:Flower artist:Jisoo year:2000-2023,0bC7GKnxh9W9JIvJ6HVWxc
58,"1,181","May 7, 2023",Seventeen,Super,"7,884",Inkigayo,track:Super artist:Seventeen year:2000-2023,3AOf6YEpxQ894FmrwI9k96
59,"1,182","May 14, 2023",Le Sserafim,Unforgiven,"8,466",Inkigayo,track:Unforgiven artist:Le Sserafim year:2000-2023,51vRumtqbkNW9wrKfESwfu
60,"1,183","May 21, 2023",Aespa,Spicy,"7,742",Inkigayo,track:Spicy artist:Aespa year:2000-2023,3gtlthEgyulDfT8dWdKsnv
61,"1,184","May 28, 2023",(G)I-dle,Queencard,"8,779",Inkigayo,track:Queencard artist:(G)I-dle year:2000-2023,68r87x3VZdAMhv8nBVuynz
62,"1,185","June 4, 2023",(G)I-dle,Queencard,"9,423",Inkigayo,track:Queencard artist:(G)I-dle year:2000-2023,68r87x3VZdAMhv8nBVuynz
63,"1,186","June 11, 2023",(G)I-dle,Queencard,"8,112",Inkigayo,track:Queencard artist:(G)I-dle year:2000-2023,68r87x3VZdAMhv8nBVuynz
64,"1,187","June 18, 2023",Ive,I Am,"6,398",Inkigayo,track:I Am artist:Ive year:2000-2023,7KavHYqoVFNB3IUXfs5gvP
65,"1,188","June 25, 2023",Ive,I Am,"6,882",Inkigayo,track:I Am artist:Ive year:2000-2023,7KavHYqoVFNB3IUXfs5gvP
66,"1,189","July 2, 2023",Jisoo,Flower,"6,961",Inkigayo,track:Flower artist:Jisoo year:2000-2023,0bC7GKnxh9W9JIvJ6HVWxc
67,"1,190","July 9, 2023",Shinee,Hard,"6,666",Inkigayo,track:Hard artist:Shinee year:2000-2023,2VV1RIhTgeJ4PEMYz6TqDB
68,"1,191","July 16, 2023",Le Sserafim,"Eve, Psyche & the Bluebeard's Wife","6,463",Inkigayo,"track:Eve, Psyche & the Bluebeard's Wife artist:Le Sserafim year:2000-2023",4QhnNyKDsAkXPwHkSnuc89
69,"1,192","July 23, 2023",NewJeans,Super Shy,"6,994",Inkigayo,track:Super Shy artist:NewJeans year:2000-2023,5sdQOyqq2IDhvmx2lHOpwd
70,"1,193","July 30, 2023",Jung Kook,Seven,"8,074",Inkigayo,track:Seven artist:Jung Kook year:2000-2023,7Hcj0duTWiCSYDtJaztNIt
71,"1,194","August 6, 2023",Jung Kook,Seven,"8,379",Inkigayo,track:Seven artist:Jung Kook year:2000-2023,7Hcj0duTWiCSYDtJaztNIt
72,"1,195","August 13, 2023",Jung Kook,Seven,"8,425",Inkigayo,track:Seven artist:Jung Kook year:2000-2023,7Hcj0duTWiCSYDtJaztNIt
73,"1,196","August 20, 2023",NewJeans,Super Shy,"6,724",Inkigayo,track:Super Shy artist:NewJeans year:2000-2023,5sdQOyqq2IDhvmx2lHOpwd
74,"1,197","August 27, 2023",NewJeans,Super Shy,"7,211",Inkigayo,track:Super Shy artist:NewJeans year:2000-2023,5sdQOyqq2IDhvmx2lHOpwd
75,"1,198","September 3, 2023",NewJeans,ETA,"6,572",Inkigayo,track:ETA artist:NewJeans year:2000-2023,56v8WEnGzLByGsDAXDiv4d
76,"1,199","September 10, 2023",NewJeans,ETA,"6,111",Inkigayo,track:ETA artist:NewJeans year:2000-2023,56v8WEnGzLByGsDAXDiv4d
